requirement_id,requirement_group,requirement,notebook_section,output_evidence,status
VAL-01,automated_validation,Exact repository/worktree provenance,A-G as applicable,validation_results.csv,PASS
VAL-02,automated_validation,Phase 1 revision unchanged,A-G as applicable,validation_results.csv,PASS
VAL-03,automated_validation,Phase 1 ledger hash unchanged,A-G as applicable,validation_results.csv,PASS
VAL-04,automated_validation,"Phase 2, 2.5 and 3 protected artifacts unchanged",A-G as applicable,validation_results.csv,PASS
VAL-05,automated_validation,241 unique simulations,A-G as applicable,validation_results.csv,PASS
VAL-06,automated_validation,"Features remain exactly P, VX, LS, ST where used",A-G as applicable,validation_results.csv,PASS
VAL-07,automated_validation,Monitor units verified,A-G as applicable,validation_results.csv,PASS
VAL-08,automated_validation,Bounds ordering verified,A-G as applicable,validation_results.csv,PASS
VAL-09,automated_validation,Width calculation correct,A-G as applicable,validation_results.csv,PASS
VAL-10,automated_validation,Depth calculation correct,A-G as applicable,validation_results.csv,PASS
VAL-11,automated_validation,Aspect-ratio denominator guard applied,A-G as applicable,validation_results.csv,PASS
VAL-12,automated_validation,Invalid ratio rows recorded,A-G as applicable,validation_results.csv,PASS
VAL-13,automated_validation,Physical and technical labels separated,A-G as applicable,validation_results.csv,PASS
VAL-14,automated_validation,Screenshot Bug excluded as physical regime,A-G as applicable,validation_results.csv,PASS
VAL-15,automated_validation,Label counts reproducible,A-G as applicable,validation_results.csv,PASS
VAL-16,automated_validation,Alignment tolerance documented,A-G as applicable,validation_results.csv,PASS
VAL-17,automated_validation,Ambiguous alignments recorded,A-G as applicable,validation_results.csv,PASS
VAL-18,automated_validation,No held-out label leakage in threshold selection,A-G as applicable,validation_results.csv,PASS
VAL-19,automated_validation,Normalized scan position uses physical domain bounds,A-G as applicable,validation_results.csv,PASS
VAL-20,automated_validation,Per-simulation maximum observed progress recorded,A-G as applicable,validation_results.csv,PASS
VAL-21,automated_validation,Right-censoring recorded,A-G as applicable,validation_results.csv,PASS
VAL-22,automated_validation,No interpolation across excessive gaps,A-G as applicable,validation_results.csv,PASS
VAL-23,automated_validation,Aggregate profiles show contributor counts,A-G as applicable,validation_results.csv,PASS
VAL-24,automated_validation,Candidate definitions machine-readable,A-G as applicable,validation_results.csv,PASS
VAL-25,automated_validation,Global maximum is spike-sensitive reference only,A-G as applicable,validation_results.csv,PASS
VAL-26,automated_validation,Persistence primarily physical-distance based,A-G as applicable,validation_results.csv,PASS
VAL-27,automated_validation,Persistence windows predeclared,A-G as applicable,validation_results.csv,PASS
VAL-28,automated_validation,No post-hoc best-window cherry-picking,A-G as applicable,validation_results.csv,PASS
VAL-29,automated_validation,Exact T0 reproduced,A-G as applicable,validation_results.csv,PASS
VAL-30,automated_validation,Common-interior rule documented,A-G as applicable,validation_results.csv,PASS
VAL-31,automated_validation,Adaptive-interior rule documented,A-G as applicable,validation_results.csv,PASS
VAL-32,automated_validation,Candidate availability recorded,A-G as applicable,validation_results.csv,PASS
VAL-33,automated_validation,Selected example rules reproducible,A-G as applicable,validation_results.csv,PASS
VAL-34,automated_validation,Examples not manually cherry-picked,A-G as applicable,validation_results.csv,PASS
VAL-35,automated_validation,Actual frames match selected simulation IDs,A-G as applicable,validation_results.csv,PASS
VAL-36,automated_validation,Actual frame revision and paths recorded,A-G as applicable,validation_results.csv,PASS
VAL-37,automated_validation,Frame bootstrap clusters by simulation,A-G as applicable,validation_results.csv,PASS
VAL-38,automated_validation,PR AUC includes prevalence baseline,A-G as applicable,validation_results.csv,PASS
VAL-39,automated_validation,Exact positive and negative counts reported,A-G as applicable,validation_results.csv,PASS
VAL-40,automated_validation,Nested thresholds use outer-training data only,A-G as applicable,validation_results.csv,PASS
VAL-41,automated_validation,Paired bootstrap preserves simulation pairing,A-G as applicable,validation_results.csv,PASS
VAL-42,automated_validation,Final confidence intervals reproducible,A-G as applicable,validation_results.csv,PASS
VAL-43,automated_validation,Instability sensitivity completed,A-G as applicable,validation_results.csv,PASS
VAL-44,automated_validation,Censoring sensitivity completed,A-G as applicable,validation_results.csv,PASS
VAL-45,automated_validation,VX-stratified sensitivity completed,A-G as applicable,validation_results.csv,PASS
VAL-46,automated_validation,Metrics independently recomputed,A-G as applicable,validation_results.csv,PASS
VAL-47,automated_validation,No unsupported causal claims,A-G as applicable,validation_results.csv,PASS
