figure,path,question,target,models,sha256
01_new_data_target_scales.png,outputs/week7_03_new_data_physical_model_stability/figures/01_new_data_target_scales.png,What target scales and distributions define the new-data modelling domain?,all,[],dbb19488a8f2ff826f66139961237064ffc6f1a4bf79fac0727ea3d4ac722860
02_width_observed_vs_predicted.png,outputs/week7_03_new_data_physical_model_stability/figures/02_width_observed_vs_predicted.png,How closely do the main models predict each held-out simulation?,width,"[""matern32_learned_nugget"",""polynomial_ridge_degree2"",""linear_ridge""]",81d8ebe357e3c16bd4d4ba997fb745aa9feaf69d5e79cf9729ad8c3ef0bf0025
03_width_residual_distribution.png,outputs/week7_03_new_data_physical_model_stability/figures/03_width_residual_distribution.png,Are errors centred and are there asymmetric or heavy residual tails?,width,"[""matern32_learned_nugget"",""polynomial_ridge_degree2"",""linear_ridge""]",7dd2731d989f97520001e4f0903fc5309a22f7e07beaa542507474ed3406e99a
04_width_error_vs_observed_scale.png,outputs/week7_03_new_data_physical_model_stability/figures/04_width_error_vs_observed_scale.png,Do absolute errors grow systematically with the observed response scale?,width,"[""matern32_learned_nugget"",""polynomial_ridge_degree2""]",05adc99be35d3128ea4cee656fa5bbf91678a2153d948df946449af14b2d5899
05_width_predictive_interval_calibration.png,outputs/week7_03_new_data_physical_model_stability/figures/05_width_predictive_interval_calibration.png,Which GP uncertainty treatment is best calibrated out of sample?,width,"[""rbf_no_nugget"",""matern52_no_nugget"",""matern32_heteroskedastic_alpha"",""matern32_no_nugget"",""matern32_learned_nugget"",""matern52_learned_nugget"",""rbf_learned_nugget""]",aec05991365719b439c6e19cef90295ef6ae66444b4b38746bc51835f2c8fb5b
06_width_model_metric_comparison.png,outputs/week7_03_new_data_physical_model_stability/figures/06_width_model_metric_comparison.png,Which model has the lowest median-scale relative RMSE?,width,"[""matern32_learned_nugget"",""matern32_heteroskedastic_alpha"",""matern32_no_nugget"",""matern52_learned_nugget"",""rbf_learned_nugget"",""matern52_no_nugget"",""polynomial_ridge_degree2"",""rbf_no_nugget"",""linear_ridge"",""training_mean""]",ce408c89c2a213ba1ec2c27b56f61f417a047f30fd61edea712428865f5b61ab
07_depth_observed_vs_predicted.png,outputs/week7_03_new_data_physical_model_stability/figures/07_depth_observed_vs_predicted.png,How closely do the main models predict each held-out simulation?,depth,"[""matern32_learned_nugget"",""polynomial_ridge_degree2"",""linear_ridge""]",366632b0167a15288013ca9326712e2838851a5ef4aacbe1f8ea7eb595c9fbd8
08_depth_residual_distribution.png,outputs/week7_03_new_data_physical_model_stability/figures/08_depth_residual_distribution.png,Are errors centred and are there asymmetric or heavy residual tails?,depth,"[""matern32_learned_nugget"",""polynomial_ridge_degree2"",""linear_ridge""]",25c583aeabcff4609421017602e356ece5438231ad6de05aa5067d72d0272c94
09_depth_error_vs_observed_scale.png,outputs/week7_03_new_data_physical_model_stability/figures/09_depth_error_vs_observed_scale.png,Do absolute errors grow systematically with the observed response scale?,depth,"[""matern32_learned_nugget"",""polynomial_ridge_degree2""]",ef2f337f42feb2acba6e841e5e1a298c014977a2979ad2cf41d2dcb0c2187664
10_depth_predictive_interval_calibration.png,outputs/week7_03_new_data_physical_model_stability/figures/10_depth_predictive_interval_calibration.png,Which GP uncertainty treatment is best calibrated out of sample?,depth,"[""rbf_no_nugget"",""matern52_no_nugget"",""matern32_heteroskedastic_alpha"",""matern32_no_nugget"",""matern32_learned_nugget"",""matern52_learned_nugget"",""rbf_learned_nugget""]",2b32c0064d7772fbe66f208b1cd43326a6ee657485a2658a6349cc93ad83ef2c
