branch,scope,remote_tip_sha,local_tip_sha,audited_tip_sha,merge_base_with_old_main,unique_commit_count_vs_old_main,unique_commits_vs_old_main,scientifically_unique_paths_vs_old_main,unique_file_paths,canonical_replacement_paths,content_state,tip_reachable_from_candidate_main,scientific_paths_missing_from_candidate,missing_paths,superseded_tip_tree_paths_reachable_by_ancestry,associated_pr,open_pr,disposition,remote_deletion_eligible_after_main_pass,reason
codex/week3-4d-benchmark,local_only,,50293d32f81901d69814260a94e14bd77927a028,50293d32f81901d69814260a94e14bd77927a028,50293d32f81901d69814260a94e14bd77927a028,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,LOCAL_ONLY_NO_REMOTE_DELETION,false,No remote branch exists; content/history is already reachable from the candidate history.
codex/week4-chronology-restructure,local_only,,2042f025aa205165bf6be607f3152b7cd69f0ef1,2042f025aa205165bf6be607f3152b7cd69f0ef1,2042f025aa205165bf6be607f3152b7cd69f0ef1,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,LOCAL_ONLY_NO_REMOTE_DELETION,false,No remote branch exists; content/history is already reachable from the candidate history.
codex/week5-first-conduction-gp,remote_and_local,1751286bb0da617d8c8c57a5440d187ca288e720,1751286bb0da617d8c8c57a5440d187ca288e720,1751286bb0da617d8c8c57a5440d187ca288e720,1751286bb0da617d8c8c57a5440d187ca288e720,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,#2:closed:merged:https://github.com/iso0/active-level-set-week1-warmup/pull/2,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week6-1-optimized-gpc,local_only,,2d49ec3a9282a1df69eb9f6d4737917f69bb9c3a,2d49ec3a9282a1df69eb9f6d4737917f69bb9c3a,2d49ec3a9282a1df69eb9f6d4737917f69bb9c3a,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,LOCAL_ONLY_NO_REMOTE_DELETION,false,No remote branch exists; content/history is already reachable from the candidate history.
codex/week6-phase1-melt-pool-data-audit,local_only,,1751286bb0da617d8c8c57a5440d187ca288e720,1751286bb0da617d8c8c57a5440d187ca288e720,1751286bb0da617d8c8c57a5440d187ca288e720,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,LOCAL_ONLY_NO_REMOTE_DELETION,false,No remote branch exists; content/history is already reachable from the candidate history.
codex/week6-phase2-5-depth-closure,remote_and_local,b112f6b22898976f77410190614cb4fb218d38f9,b112f6b22898976f77410190614cb4fb218d38f9,b112f6b22898976f77410190614cb4fb218d38f9,b112f6b22898976f77410190614cb4fb218d38f9,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week6-phase2-gp-response-models,local_only,,1751286bb0da617d8c8c57a5440d187ca288e720,1751286bb0da617d8c8c57a5440d187ca288e720,1751286bb0da617d8c8c57a5440d187ca288e720,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,LOCAL_ONLY_NO_REMOTE_DELETION,false,No remote branch exists; content/history is already reachable from the candidate history.
codex/week6-phase3-5-regime-target-design,local_only,,b112f6b22898976f77410190614cb4fb218d38f9,b112f6b22898976f77410190614cb4fb218d38f9,b112f6b22898976f77410190614cb4fb218d38f9,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,LOCAL_ONLY_NO_REMOTE_DELETION,false,No remote branch exists; content/history is already reachable from the candidate history.
codex/week6-phase3-model-target-robustness,local_only,,b112f6b22898976f77410190614cb4fb218d38f9,b112f6b22898976f77410190614cb4fb218d38f9,b112f6b22898976f77410190614cb4fb218d38f9,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,LOCAL_ONLY_NO_REMOTE_DELETION,false,No remote branch exists; content/history is already reachable from the candidate history.
codex/week6-phase4-new-outputs-feature-effects,remote_and_local,cba151880fc670d1b8a20ff2f7f25295f9bcb892,cba151880fc670d1b8a20ff2f7f25295f9bcb892,cba151880fc670d1b8a20ff2f7f25295f9bcb892,cba151880fc670d1b8a20ff2f7f25295f9bcb892,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week7-1-gpc-sur-validation,local_only,,00e71a62fa68d16834af8ac7802ade6404f57f95,00e71a62fa68d16834af8ac7802ade6404f57f95,00e71a62fa68d16834af8ac7802ade6404f57f95,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,LOCAL_ONLY_NO_REMOTE_DELETION,false,No remote branch exists; content/history is already reachable from the candidate history.
codex/week7-boundary-weighted-sur,local_only,,16fe1b6212d474780704ceadba45d88323ef16f3,16fe1b6212d474780704ceadba45d88323ef16f3,16fe1b6212d474780704ceadba45d88323ef16f3,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,LOCAL_ONLY_NO_REMOTE_DELETION,false,No remote branch exists; content/history is already reachable from the candidate history.
codex/week7-comprehensive-presentation,local_only,,167aad945b20822de712e891e901bd3ec6d5ffc6,167aad945b20822de712e891e901bd3ec6d5ffc6,167aad945b20822de712e891e901bd3ec6d5ffc6,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,LOCAL_ONLY_NO_REMOTE_DELETION,false,No remote branch exists; content/history is already reachable from the candidate history.
codex/week7-phase1-2-sph-v2-audit,remote_and_local,7ab7ada0c89680fe11dbdce22a51ad5f2ee7c929,7ab7ada0c89680fe11dbdce22a51ad5f2ee7c929,7ab7ada0c89680fe11dbdce22a51ad5f2ee7c929,7ab7ada0c89680fe11dbdce22a51ad5f2ee7c929,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week7-phase3-new-data-model-stability,remote_and_local,1118d30f3199a97b9836591f8fdea75b46dfac0d,1118d30f3199a97b9836591f8fdea75b46dfac0d,1118d30f3199a97b9836591f8fdea75b46dfac0d,1118d30f3199a97b9836591f8fdea75b46dfac0d,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week7-phase4-new-data-feature-effects-depth-diagnostics,remote_and_local,5b7004017cadc5ecd0eb128f2031f9148ed70900,5b7004017cadc5ecd0eb128f2031f9148ed70900,5b7004017cadc5ecd0eb128f2031f9148ed70900,5b7004017cadc5ecd0eb128f2031f9148ed70900,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week7-phase5-5-g3-robustness-transfer,remote_and_local,6cc2ea150b9deb6ec9dd529d94ac55cc86556cfb,6cc2ea150b9deb6ec9dd529d94ac55cc86556cfb,6cc2ea150b9deb6ec9dd529d94ac55cc86556cfb,6cc2ea150b9deb6ec9dd529d94ac55cc86556cfb,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week7-phase5-keyhole-physical-proxy-analysis,remote_and_local,3367f4c9b5af2def802f72a65258f5cc01896bac,3367f4c9b5af2def802f72a65258f5cc01896bac,3367f4c9b5af2def802f72a65258f5cc01896bac,3367f4c9b5af2def802f72a65258f5cc01896bac,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week7-phase6-real-data-boundary-active-level-set,remote_and_local,5734de6f533e1de1e15a07de24e7d4e6e53bb6fa,5734de6f533e1de1e15a07de24e7d4e6e53bb6fa,5734de6f533e1de1e15a07de24e7d4e6e53bb6fa,5734de6f533e1de1e15a07de24e7d4e6e53bb6fa,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week7-phase7-final-boundary-hybrid-benchmark,remote_and_local,167aad945b20822de712e891e901bd3ec6d5ffc6,167aad945b20822de712e891e901bd3ec6d5ffc6,167aad945b20822de712e891e901bd3ec6d5ffc6,167aad945b20822de712e891e901bd3ec6d5ffc6,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week8-5-frozen-sample-efficiency-confirmation,remote_and_local,6487722fe5e60d951ab929d8539e0793f9bed366,6487722fe5e60d951ab929d8539e0793f9bed366,6487722fe5e60d951ab929d8539e0793f9bed366,6487722fe5e60d951ab929d8539e0793f9bed366,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week8-definitive-sample-efficiency-presentation,local_only,,401b51c3da96897995d2156cde92604231ba9b4a,401b51c3da96897995d2156cde92604231ba9b4a,401b51c3da96897995d2156cde92604231ba9b4a,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,LOCAL_ONLY_NO_REMOTE_DELETION,false,No remote branch exists; content/history is already reachable from the candidate history.
codex/week8-final-sample-efficiency-thesis-consolidation,remote_and_local,401b51c3da96897995d2156cde92604231ba9b4a,401b51c3da96897995d2156cde92604231ba9b4a,401b51c3da96897995d2156cde92604231ba9b4a,401b51c3da96897995d2156cde92604231ba9b4a,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week9-no-phase-controls-r-and-d,remote_and_local,9c487d61ced8bb731b719950f5f195e46519254f,9c487d61ced8bb731b719950f5f195e46519254f,9c487d61ced8bb731b719950f5f195e46519254f,9c487d61ced8bb731b719950f5f195e46519254f,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week9-phase1-10-closure-diagnostics,remote_and_local,e33cca4f81b865d330577ef9a8140c4bbe306e5a,e33cca4f81b865d330577ef9a8140c4bbe306e5a,e33cca4f81b865d330577ef9a8140c4bbe306e5a,e33cca4f81b865d330577ef9a8140c4bbe306e5a,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week9-phase1-10-external-experimental-validation,remote_and_local,45e2677b7a57ed3aa5ad5154459100a9b5d2d436,45e2677b7a57ed3aa5ad5154459100a9b5d2d436,45e2677b7a57ed3aa5ad5154459100a9b5d2d436,45e2677b7a57ed3aa5ad5154459100a9b5d2d436,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week9-phase1-11-fixed-mean-discrepancy-gp,remote_and_local,5a21e5dce37fc6d4c58fa40bb7a6711920fec94e,5a21e5dce37fc6d4c58fa40bb7a6711920fec94e,5a21e5dce37fc6d4c58fa40bb7a6711920fec94e,5a21e5dce37fc6d4c58fa40bb7a6711920fec94e,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week9-phase1-12-gpc-kernel-adequacy,remote_and_local,161453983996b763824f2d262b5ce9d63332da16,161453983996b763824f2d262b5ce9d63332da16,161453983996b763824f2d262b5ce9d63332da16,161453983996b763824f2d262b5ce9d63332da16,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week9-phase1-13-fixed-physics-ard-discrepancy,remote_and_local,fbe76352f86580818659ab87fa23ec29a74c7f59,fbe76352f86580818659ab87fa23ec29a74c7f59,fbe76352f86580818659ab87fa23ec29a74c7f59,fbe76352f86580818659ab87fa23ec29a74c7f59,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week9-phase1-14-m3-margin-acquisition,remote_and_local,5a7a6c05ae5bf3191b74766156407211ad414360,5a7a6c05ae5bf3191b74766156407211ad414360,5a7a6c05ae5bf3191b74766156407211ad414360,5a7a6c05ae5bf3191b74766156407211ad414360,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week9-phase1-15a-physics-residual-signal-audit,remote_and_local,a8eafbbb814f5d5c9fe71a985746d6d1c4cb76eb,a8eafbbb814f5d5c9fe71a985746d6d1c4cb76eb,a8eafbbb814f5d5c9fe71a985746d6d1c4cb76eb,a8eafbbb814f5d5c9fe71a985746d6d1c4cb76eb,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week9-phase1-16-m3-repulsion-scale-audit,remote_and_local,746b19153f377bb0b7219d1c113bab672e306b19,746b19153f377bb0b7219d1c113bab672e306b19,746b19153f377bb0b7219d1c113bab672e306b19,746b19153f377bb0b7219d1c113bab672e306b19,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week9-phase1-17a-physics-contour-geometry-audit,remote_and_local,2acdb9aba6bbadcd90ba0760ea0958c08e0ea593,2acdb9aba6bbadcd90ba0760ea0958c08e0ea593,2acdb9aba6bbadcd90ba0760ea0958c08e0ea593,2acdb9aba6bbadcd90ba0760ea0958c08e0ea593,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week9-phase1-18a-level-set-acquisition-compatibility-audit,remote_and_local,658d5b73cf27e45b4b2e0897cff27a49a2ef4b84,658d5b73cf27e45b4b2e0897cff27a49a2ef4b84,658d5b73cf27e45b4b2e0897cff27a49a2ef4b84,658d5b73cf27e45b4b2e0897cff27a49a2ef4b84,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week9-phase1-18b-prospective-global-gpc-sur-benchmark,remote_and_local,255207857d22a9823f67cb1a23d9b71bdc12ec1c,255207857d22a9823f67cb1a23d9b71bdc12ec1c,255207857d22a9823f67cb1a23d9b71bdc12ec1c,255207857d22a9823f67cb1a23d9b71bdc12ec1c,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week9-phase1-18b0-fast-gpc-sur-update-validation,remote_and_local,1e34b4759037d5f3d107781791524853a406a526,1e34b4759037d5f3d107781791524853a406a526,1e34b4759037d5f3d107781791524853a406a526,1e34b4759037d5f3d107781791524853a406a526,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week9-phase1-19a-integrity-posterior-monotonicity-audit,remote_and_local,2975e72326f1680e81f16e0a29fc003bcaaf2aae,2975e72326f1680e81f16e0a29fc003bcaaf2aae,2975e72326f1680e81f16e0a29fc003bcaaf2aae,2975e72326f1680e81f16e0a29fc003bcaaf2aae,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week9-phase1-19b-prospective-robust-monotone-pool-lse,remote_and_local,7c2c45f7f1527ac11cb6f231d502ab6b1fcdb38b,bf4782881bc27fe1ec5256dc3ba0516478a1ed13,7c2c45f7f1527ac11cb6f231d502ab6b1fcdb38b,7c2c45f7f1527ac11cb6f231d502ab6b1fcdb38b,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week9-phase1-20-m3-g3-margin-acquisition,remote_and_local,49a054e3f80b8601fcb175826d54d71519f2813a,49a054e3f80b8601fcb175826d54d71519f2813a,49a054e3f80b8601fcb175826d54d71519f2813a,49a054e3f80b8601fcb175826d54d71519f2813a,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week9-phase1-5-h-physics-confirmation,remote_and_local,b36a815e12dfa872c20a050228e0545f18c443ef,b36a815e12dfa872c20a050228e0545f18c443ef,b36a815e12dfa872c20a050228e0545f18c443ef,b36a815e12dfa872c20a050228e0545f18c443ef,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week9-phase1-7-physics-ridge-residual-gp,remote_and_local,2f750c8c270baebc7e013ebe83fc429f9df14d51,2f750c8c270baebc7e013ebe83fc429f9df14d51,2f750c8c270baebc7e013ebe83fc429f9df14d51,2f750c8c270baebc7e013ebe83fc429f9df14d51,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week9-phase1-8-model-path-decomposition,remote_and_local,f74c6252bbb48d503f969ef5300f20894079301b,f74c6252bbb48d503f969ef5300f20894079301b,f74c6252bbb48d503f969ef5300f20894079301b,f74c6252bbb48d503f969ef5300f20894079301b,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week9-phase1-9-physics-specificity-control,remote_and_local,0df38fd5492d8ea264a2b9bbcd714d6c9d74be49,0df38fd5492d8ea264a2b9bbcd714d6c9d74be49,0df38fd5492d8ea264a2b9bbcd714d6c9d74be49,0df38fd5492d8ea264a2b9bbcd714d6c9d74be49,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week9-phase1-close-week8-sample-efficiency,remote_and_local,bdb6eb3628ae5eafaa0e5bc94d454626a6cf550a,bdb6eb3628ae5eafaa0e5bc94d454626a6cf550a,bdb6eb3628ae5eafaa0e5bc94d454626a6cf550a,bdb6eb3628ae5eafaa0e5bc94d454626a6cf550a,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
codex/week9-phase2-temporal-width-dynamics,remote_and_local,da913797d14b171bec55d3708f96aa87f09a4f94,da913797d14b171bec55d3708f96aa87f09a4f94,da913797d14b171bec55d3708f96aa87f09a4f94,da913797d14b171bec55d3708f96aa87f09a4f94,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,,NONE,false,DELETE_AFTER_REMOTE_MAIN_PASS,true,"Tip history is reachable from the candidate canonical history, every scientific blob is present, and no open PR uses the branch."
main,remote_and_local,5b7d030413ed2aa24e6e4c8f124dd5145f735618,5b7d030413ed2aa24e6e4c8f124dd5145f735618,5b7d030413ed2aa24e6e4c8f124dd5145f735618,5b7d030413ed2aa24e6e4c8f124dd5145f735618,0,,0,,main content-addressed union; exact destinations in BRANCH_FILE_UNION.csv/source_manifest.json.gz,IDENTICAL_OR_PREVIOUSLY_CONSOLIDATED,true,0,,README.md;docs/PROJECT_INDEX.md;docs/thesis_progress_log.md,NONE,false,RETAIN_CANONICAL,false,Canonical default branch; never delete.
