branch,tip_sha,remote_branch_exists,matches_remote_tip,tip_reachable_from_main,unique_commits_vs_main,science_blobs_absent_from_main,science_paths_absent_from_main_by_blob,unique_science_paths,disposition
codex/archive-week3-named-benchmark,27035c84625d1228a6ed8994c619727ed9f40262,false,false,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/external-masinelli-feasibility-audit,8d99c1976890bbf4a12a7cfcd00e9bdd7ae924a8,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/thesis-complete-consolidation,5b7d030413ed2aa24e6e4c8f124dd5145f735618,false,false,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/thesis-unified-project,5b7d030413ed2aa24e6e4c8f124dd5145f735618,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week10-pg-rmbc-internal-replication,a380aeb07f6328d8365273835c09a452b4e33d8b,true,true,false,1,1530,1532,docs/PROJECT_INDEX.md;docs/phases/week10_trackA_pg_rmbc.md;docs/thesis_progress_log.md;outputs/week10_trackA_pg_rmbc/FINAL_METHOD_REPORT.md;outputs/week10_trackA_pg_rmbc/HISTORICAL_GATES.md;outputs/week10_trackA_pg_rmbc/METHOD_PROTOCOL_FREEZE.md;outputs/week10_trackA_pg_rmbc/METHOD_PROTOCOL_FREEZE.sha256;outputs/week10_trackA_pg_rmbc/checkpoints/P0_M3_MARGIN_B16/w85__r121_f01.json.gz;outputs/week10_trackA_pg_rmbc/checkpoints/P0_M3_MARGIN_B16/w85__r121_f02.json.gz;outputs/week10_trackA_pg_rmbc/checkpoints/P0_M3_MARGIN_B16/w85__r121_f03.json.gz;outputs/week10_trackA_pg_rmbc/checkpoints/P0_M3_MARGIN_B16/w85__r121_f04.json.gz;outputs/week10_trackA_pg_rmbc/checkpoints/P0_M3_MARGIN_B16/w85__r121_f05.json.gz;outputs/week10_trackA_pg_rmbc/checkpoints/P0_M3_MARGIN_B16/w85__r122_f01.json.gz;outputs/week10_trackA_pg_rmbc/checkpoints/P0_M3_MARGIN_B16/w85__r122_f02.json.gz;outputs/week10_trackA_pg_rmbc/checkpoints/P0_M3_MARGIN_B16/w85__r122_f03.json.gz;outputs/week10_trackA_pg_rmbc/checkpoints/P0_M3_MARGIN_B16/w85__r122_f04.json.gz;outputs/week10_trackA_pg_rmbc/checkpoints/P0_M3_MARGIN_B16/w85__r122_f05.json.gz;outputs/week10_trackA_pg_rmbc/checkpoints/P0_M3_MARGIN_B16/w85__r123_f01.json.gz;outputs/week10_trackA_pg_rmbc/checkpoints/P0_M3_MARGIN_B16/w85__r123_f02.json.gz;outputs/week10_trackA_pg_rmbc/checkpoints/P0_M3_MARGIN_B16/w85__r123_f03.json.gz;outputs/week10_trackA_pg_rmbc/checkpoints/P0_M3_MARGIN_B16/w85__r123_f04.json.gz;outputs/week10_trackA_pg_rmbc/checkpoints/P0_M3_MARGIN_B16/w85__r123_f05.json.gz;outputs/week10_trackA_pg_rmbc/checkpoints/P0_M3_MARGIN_B16/w85__r124_f01.json.gz;outputs/week10_trackA_pg_rmbc/checkpoints/P0_M3_MARGIN_B16/w85__r124_f02.json.gz;outputs/week10_trackA_pg_rmbc/checkpoints/P0_M3_MARGIN_B16/w85__r124_f03.json.gz;outputs/week10_trackA_pg_rmbc/checkpoints/P0_M3_MARGIN_B16/w85__r124_f04.json.gz;outputs/week10_trackA_pg_rmbc/checkpoints/P0_M3_MARGIN_B16/w85__r124_f05.json.gz;outputs/week10_trackA_pg_rmbc/checkpoints/P0_M3_MARGIN_B16/w85__r125_f01.json.gz;outputs/week10_trackA_pg_rmbc/checkpoints/P0_M3_MARGIN_B16/w85__r125_f02.json.gz;outputs/week10_trackA_pg_rmbc/checkpoints/P0_M3_MARGIN_B16/w85__r125_f03.json.gz;...(+1502),IMPORT
codex/week3-4d-benchmark,50293d32f81901d69814260a94e14bd77927a028,false,false,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week4-chronology-restructure,2042f025aa205165bf6be607f3152b7cd69f0ef1,false,false,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week5-first-conduction-gp,1751286bb0da617d8c8c57a5440d187ca288e720,true,true,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week6-1-optimized-gpc,2d49ec3a9282a1df69eb9f6d4737917f69bb9c3a,false,false,true,0,0,0,,CONTENT_ALREADY_PRESERVED
codex/week6-phase1-melt-pool-data-audit,1751286bb0da617d8c8c57a5440d187ca288e720,false,false,true,0,0,0,,CONTENT_ALREADY_PRESERVED
