experiment_name,partition,monitor_file,expected_columns,source_mode,remote_exists,remote_size_bytes,remote_git_blob_id,local_blob_matches_pinned_sph_v2,local_path,schema_compatible,row_count,column_count,nonfinite_count,negative_count,detail,known_malformed_no_melt_sentinel_count,known_malformed_no_melt_sentinel_locations,known_malformed_no_melt_sentinel_rule_applied,positive_solver_sentinel_count,negative_solver_sentinel_count,positive_solver_sentinel_column_counts,negative_solver_sentinel_column_counts,complete_no_melt_sentinel_row_count,partial_solver_sentinel_row_count,other_near_1e38_numeric_count,unrelated_malformed_token_coercion_count,source_unit,reported_unit_or_use,timestep_or_index_interpretation,physical_semantics
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,new-data,iter.dat,1,pinned_sph_v2_download,True,698090.0,e4db62b645d6870dd59d758b5ac287688df9f9ad,True,\\?\C:\Users\ozgur\Documents\thesis-week7-sph-v2-audit\data\raw\sph_v2\d69dac5bda8b622bc0de316b112815c6056c06ec\P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f\monitor\iter.dat,True,115600.0,1.0,0.0,,Parsed without structural coercion.,0,[],False,0,0,[],[],0,0,0,0,solver iteration (dimensionless index),integer iteration used for exact label-timestep alignment,strictly increasing solver iteration aligned row-for-row to geometry,"solver iteration identifier, not elapsed physical time"
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,new-data,kinetic-energy_melt.dat,1,pinned_sph_v2_download,True,1502800.0,3e17cd9dc741221c4ddf019e17ff4d69800ead60,True,\\?\C:\Users\ozgur\Documents\thesis-week7-sph-v2-audit\data\raw\sph_v2\d69dac5bda8b622bc0de316b112815c6056c06ec\P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f\monitor\kinetic-energy_melt.dat,True,115600.0,1.0,0.0,0.0,Parsed without structural coercion.,0,[],False,0,0,[],[],0,0,0,0,J,nJ,instantaneous aggregate value aligned by monitor row,aggregate kinetic energy of the melt subset; not cumulative
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,new-data,position-bounds_melt.dat,6,pinned_sph_v2_download,True,9260263.0,63006e054236992f87186f0480cd9afc889ef220,True,\\?\C:\Users\ozgur\Documents\thesis-week7-sph-v2-audit\data\raw\sph_v2\d69dac5bda8b622bc0de316b112815c6056c06ec\P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f\monitor\position-bounds_melt.dat,True,115600.0,6.0,0.0,,Parsed without structural coercion.,0,[],False,45876,45876,"[15292,0,15292,0,15292,0]","[0,15292,0,15292,0,15292]",15292,0,0,0,m,derived width/length/depth/height reported in µm,one six-column x/y/z min/max row per geometry monitor row,axis-aligned bounds of the melt subset
P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f,new-data,time.dat,1,pinned_sph_v2_download,True,1502800.0,0229496c1e473d714d2329877cfb90ea07384d93,True,\\?\C:\Users\ozgur\Documents\thesis-week7-sph-v2-audit\data\raw\sph_v2\d69dac5bda8b622bc0de316b112815c6056c06ec\P-102p928146519_VX-0p633805217924_LS-5p29394366699e-05_ST-318p223787128_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-7p61136145079e-06_H-6c9c68731f\monitor\time.dat,True,115600.0,1.0,0.0,,Parsed without structural coercion.,0,[],False,0,0,[],[],0,0,0,0,s,s (plots additionally show ms),strictly increasing physical monitor time aligned row-for-row to geometry,simulation time
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,new-data,iter.dat,1,pinned_sph_v2_download,True,698090.0,e4db62b645d6870dd59d758b5ac287688df9f9ad,True,\\?\C:\Users\ozgur\Documents\thesis-week7-sph-v2-audit\data\raw\sph_v2\d69dac5bda8b622bc0de316b112815c6056c06ec\P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094\monitor\iter.dat,True,115600.0,1.0,0.0,,Parsed without structural coercion.,0,[],False,0,0,[],[],0,0,0,0,solver iteration (dimensionless index),integer iteration used for exact label-timestep alignment,strictly increasing solver iteration aligned row-for-row to geometry,"solver iteration identifier, not elapsed physical time"
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,new-data,kinetic-energy_melt.dat,1,pinned_sph_v2_download,True,1502800.0,50a9055d1ee6c0072b42944cae54bb1be91bd4a1,True,\\?\C:\Users\ozgur\Documents\thesis-week7-sph-v2-audit\data\raw\sph_v2\d69dac5bda8b622bc0de316b112815c6056c06ec\P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094\monitor\kinetic-energy_melt.dat,True,115600.0,1.0,0.0,0.0,Parsed without structural coercion.,0,[],False,0,0,[],[],0,0,0,0,J,nJ,instantaneous aggregate value aligned by monitor row,aggregate kinetic energy of the melt subset; not cumulative
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,new-data,position-bounds_melt.dat,6,pinned_sph_v2_download,True,9277082.0,78715c739cfb2a5b81b7ffc0ce973718f425a6b9,True,\\?\C:\Users\ozgur\Documents\thesis-week7-sph-v2-audit\data\raw\sph_v2\d69dac5bda8b622bc0de316b112815c6056c06ec\P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094\monitor\position-bounds_melt.dat,True,115600.0,6.0,0.0,,Parsed without structural coercion.,0,[],False,109722,109722,"[36574,0,36574,0,36574,0]","[0,36574,0,36574,0,36574]",36574,0,0,0,m,derived width/length/depth/height reported in µm,one six-column x/y/z min/max row per geometry monitor row,axis-aligned bounds of the melt subset
P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094,new-data,time.dat,1,pinned_sph_v2_download,True,1502800.0,0229496c1e473d714d2329877cfb90ea07384d93,True,\\?\C:\Users\ozgur\Documents\thesis-week7-sph-v2-audit\data\raw\sph_v2\d69dac5bda8b622bc0de316b112815c6056c06ec\P-109p741517589_VX-0p915030812968_LS-7p99759662409e-05_ST-303p804431165_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p27208541466e-06_H-0e4c2fc094\monitor\time.dat,True,115600.0,1.0,0.0,,Parsed without structural coercion.,0,[],False,0,0,[],[],0,0,0,0,s,s (plots additionally show ms),strictly increasing physical monitor time aligned row-for-row to geometry,simulation time
P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780,new-data,iter.dat,1,pinned_sph_v2_download,True,698090.0,e4db62b645d6870dd59d758b5ac287688df9f9ad,True,\\?\C:\Users\ozgur\Documents\thesis-week7-sph-v2-audit\data\raw\sph_v2\d69dac5bda8b622bc0de316b112815c6056c06ec\P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780\monitor\iter.dat,True,115600.0,1.0,0.0,,Parsed without structural coercion.,0,[],False,0,0,[],[],0,0,0,0,solver iteration (dimensionless index),integer iteration used for exact label-timestep alignment,strictly increasing solver iteration aligned row-for-row to geometry,"solver iteration identifier, not elapsed physical time"
P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780,new-data,kinetic-energy_melt.dat,1,pinned_sph_v2_download,True,1502800.0,6460c6842176508a2e169df97013440c9a91d39b,True,\\?\C:\Users\ozgur\Documents\thesis-week7-sph-v2-audit\data\raw\sph_v2\d69dac5bda8b622bc0de316b112815c6056c06ec\P-111p098510779_VX-0p492021331775_LS-4p80108469254e-05_ST-345p911753718_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p80469807196e-06_H-0602c4a780\monitor\kinetic-energy_melt.dat,True,115600.0,1.0,0.0,0.0,Parsed without structural coercion.,0,[],False,0,0,[],[],0,0,0,0,J,nJ,instantaneous aggregate value aligned by monitor row,aggregate kinetic energy of the melt subset; not cumulative
