run_id,repeat,fold,arm,continuation_id,budget,fit_seed_key,fit_seed_u32
w85__r01_f01,1,1,binary_margin,1,160,week8_5_frozen_confirmation|v1|run|w85__r01_f01|arm|binary_margin|fit|budget|160,3788469858
w85__r01_f01,1,1,binary_margin,1,161,week8_5_frozen_confirmation|v1|run|w85__r01_f01|arm|binary_margin|fit|budget|161,320985936
w85__r01_f01,1,1,binary_margin,1,162,week8_5_frozen_confirmation|v1|run|w85__r01_f01|arm|binary_margin|fit|budget|162,164019793
w85__r01_f01,1,1,binary_margin,1,163,week8_5_frozen_confirmation|v1|run|w85__r01_f01|arm|binary_margin|fit|budget|163,1549751497
w85__r01_f01,1,1,binary_margin,1,164,week8_5_frozen_confirmation|v1|run|w85__r01_f01|arm|binary_margin|fit|budget|164,2917507494
w85__r01_f01,1,1,binary_margin,1,165,week8_5_frozen_confirmation|v1|run|w85__r01_f01|arm|binary_margin|fit|budget|165,3364159276
w85__r01_f01,1,1,binary_margin,1,166,week8_5_frozen_confirmation|v1|run|w85__r01_f01|arm|binary_margin|fit|budget|166,4198457304
w85__r01_f01,1,1,binary_margin,1,167,week8_5_frozen_confirmation|v1|run|w85__r01_f01|arm|binary_margin|fit|budget|167,461255293
w85__r01_f01,1,1,binary_margin,1,168,week8_5_frozen_confirmation|v1|run|w85__r01_f01|arm|binary_margin|fit|budget|168,861784713
w85__r01_f01,1,1,binary_margin,1,169,week8_5_frozen_confirmation|v1|run|w85__r01_f01|arm|binary_margin|fit|budget|169,2429824040
w85__r01_f01,1,1,binary_margin,1,170,week8_5_frozen_confirmation|v1|run|w85__r01_f01|arm|binary_margin|fit|budget|170,2661044978
w85__r01_f01,1,1,binary_margin,1,171,week8_5_frozen_confirmation|v1|run|w85__r01_f01|arm|binary_margin|fit|budget|171,3489485911
w85__r01_f01,1,1,binary_margin,1,172,week8_5_frozen_confirmation|v1|run|w85__r01_f01|arm|binary_margin|fit|budget|172,2805386895
w85__r01_f01,1,1,binary_margin,1,173,week8_5_frozen_confirmation|v1|run|w85__r01_f01|arm|binary_margin|fit|budget|173,1889635770
w85__r01_f01,1,1,binary_margin,1,174,week8_5_frozen_confirmation|v1|run|w85__r01_f01|arm|binary_margin|fit|budget|174,2659993087
w85__r01_f01,1,1,binary_margin,1,175,week8_5_frozen_confirmation|v1|run|w85__r01_f01|arm|binary_margin|fit|budget|175,2002254139
w85__r01_f01,1,1,binary_margin,1,176,week8_5_frozen_confirmation|v1|run|w85__r01_f01|arm|binary_margin|fit|budget|176,3641018202
w85__r01_f01,1,1,binary_margin,1,177,week8_5_frozen_confirmation|v1|run|w85__r01_f01|arm|binary_margin|fit|budget|177,3509468488
w85__r01_f01,1,1,binary_margin,1,178,week8_5_frozen_confirmation|v1|run|w85__r01_f01|arm|binary_margin|fit|budget|178,1133316204
w85__r01_f01,1,1,binary_margin,1,179,week8_5_frozen_confirmation|v1|run|w85__r01_f01|arm|binary_margin|fit|budget|179,768717292
