target,target_label,target_definition,target_definition_label,paired_simulation_count,pearson_correlation_with_t0,pearson_p_value,spearman_correlation_with_t0,spearman_p_value,median_signed_difference_from_t0_um,median_absolute_difference_from_t0_um,q95_absolute_difference_from_t0_um,maximum_absolute_difference_from_t0_um,median_relative_difference_from_t0,q95_relative_difference_from_t0,fraction_absolute_difference_exceeds_1_um,current_matern32_learned_nugget_std_median_um,fraction_absolute_difference_exceeds_current_learned_nugget_std,fraction_absolute_difference_exceeds_5pct_t0,target_shift_and_nugget_are_conceptually_distinct,scale_comparison_interpretation
depth,Penetration depth below original surface,T0,Current: median over final 20% before 90% +X cutoff,230,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7767506721323791,0.0,0.0,True,descriptive only: between-definition target shift is not the same concept as a GP's learned effective nugget
depth,Penetration depth below original surface,T1,Shorter: median over final 10% before 90% +X cutoff,230,0.9944910307847835,2.4420354795907065e-225,0.995571544460855,4.0256920055469955e-236,-0.08619500000000002,0.10043250000000015,3.7803257500000043,6.918300000000002,0.0021218868756113247,0.07509278589394838,0.36086956521739133,1.7767506721323791,0.3217391304347826,0.1956521739130435,True,descriptive only: between-definition target shift is not the same concept as a GP's learned effective nugget
depth,Penetration depth below original surface,T2,Longer: median over final 30% before 90% +X cutoff,230,0.9961116337640782,1.5090388528858328e-242,0.9978686208418501,2.8534220347913303e-272,0.022369999999995116,0.041497500000005516,3.701572500000001,11.459524999999985,0.0008148294119593876,0.062320385099178276,0.19130434782608696,1.7767506721323791,0.1608695652173913,0.10869565217391304,True,descriptive only: between-definition target shift is not the same concept as a GP's learned effective nugget
depth,Penetration depth below original surface,T3,Earlier: median over final 20% before 85% +X cutoff,230,0.9960902796549078,2.8140546303780803e-242,0.9975559659630286,1.6774800261566915e-265,0.005192500000003264,0.01093750000000071,3.654518999999997,13.65406999999999,0.00025499357302762797,0.05967169373053654,0.1565217391304348,1.7767506721323791,0.12608695652173912,0.09130434782608696,True,descriptive only: between-definition target shift is not the same concept as a GP's learned effective nugget
depth,Penetration depth below original surface,T4,Later: median over final 20% before 95% +X cutoff,230,0.9957871493799302,1.3772287057611572e-238,0.9959729657090581,8.131891754980007e-241,-0.014110000000002287,0.01785250000000005,3.791347750000003,4.626429999999999,0.00037680889279796746,0.07173275296392567,0.2782608695652174,1.7767506721323791,0.2391304347826087,0.1956521739130435,True,descriptive only: between-definition target shift is not the same concept as a GP's learned effective nugget
depth,Penetration depth below original surface,T5,Reference: mean of final 50 valid melt-present rows,230,0.6260313341860637,1.9720970703851994e-26,0.6265903148808541,1.7278553084641898e-26,-7.995309599999992,7.995309599999992,58.79701625,70.584725,0.15011158401386937,1.0,0.6565217391304348,1.7767506721323791,0.6478260869565218,0.6260869565217392,True,descriptive only: between-definition target shift is not the same concept as a GP's learned effective nugget
length,Melt-pool length,T0,Current: median over final 20% before 90% +X cutoff,241,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.17099621817239,0.0,0.0,True,descriptive only: between-definition target shift is not the same concept as a GP's learned effective nugget
length,Melt-pool length,T1,Shorter: median over final 10% before 90% +X cutoff,241,0.998491016431601,3.1597242875518915e-303,0.9978164329069649,4.5711117507755134e-284,0.8696999999999662,2.8289500000000203,9.506699999999967,27.3827500000001,0.008366046460458252,0.033211828694517255,0.7925311203319502,16.17099621817239,0.004149377593360996,0.008298755186721992,True,descriptive only: between-definition target shift is not the same concept as a GP's learned effective nugget
length,Melt-pool length,T2,Longer: median over final 30% before 90% +X cutoff,241,0.9991153218425017,0.0,0.9988109118342994,0.0,-1.7815500000000952,2.4449999999998795,8.929699999999912,13.889349999999922,0.006680799320134729,0.03047183010026163,0.8547717842323651,16.17099621817239,0.0,0.004149377593360996,True,descriptive only: between-definition target shift is not the same concept as a GP's learned effective nugget
length,Melt-pool length,T3,Earlier: median over final 20% before 85% +X cutoff,241,0.9992847352514844,0.0,0.9987594732690923,0.0,0.0,0.2476500000000783,6.185900000000004,37.868100000000084,0.0006500025297842212,0.022265151129436705,0.42323651452282157,16.17099621817239,0.004149377593360996,0.004149377593360996,True,descriptive only: between-definition target shift is not the same concept as a GP's learned effective nugget
