"path","size_bytes","size_gib","git_type","branch","head_sha","upstream","staged_files","modified_files","untracked_files","ignored_top_level_entries","ignored_summary","ahead","behind","local_only_commits","remote_branch_exists","exact_remote_branch_match","head_reachable_from_live_remote","locked","prunable","classification","safe_to_remove","unique_content_verification","reason"
"C:\Users\ozgur\Documents\thesis","2240200540","2.086","canonical_clone","main","6fd6be57e5341e083a7023a3ae29e65b7b326bbd","origin/main","0","1","5","6",".venv/;notebooks/01_make_moons_sanity_check.html;notebooks/01_make_moons_sanity_check.pdf;notebooks/02_branin_week1_loop.html;notebooks/02_branin_week1_loop.pdf;src/__pycache__/","0","15","0","True","False","True","False","False","KEEP_CANONICAL","False","Contains one modified and five untracked thesis files.","Selected stable canonical checkout; it is dirty and must remain untouched."
"C:\Users\ozgur\Documents\thesis-external-masinelli-feasibility-audit","0","0","registered_missing_worktree","codex/external-masinelli-feasibility-audit","8d99c1976890bbf4a12a7cfcd00e9bdd7ae924a8","","0","0","0","0","","0","0","0","False","False","False","False","True","SAFE_REDUNDANT_WORKTREE","True","No directory exists, so metadata pruning cannot delete files.","Filesystem path is absent; only stale registered metadata remains."
"C:\Users\ozgur\Documents\thesis-week4-chronology-restructure","139267224","0.13","linked_worktree","codex/week4-chronology-restructure","2042f025aa205165bf6be607f3152b7cd69f0ef1","","0","0","0","1","src/__pycache__/","0","0","0","False","False","True","False","False","KEEP_UNCERTAIN","False","Tracked tree is clean; branch identity still requires explicit approval before removal.","Clean and remotely reachable, but its named remote branch no longer exists and ignored pycache files remain."
"C:\Users\ozgur\Documents\thesis-week5-first-conduction-gp","680223270","0.634","linked_worktree","codex/week5-first-conduction-gp","1751286bb0da617d8c8c57a5440d187ca288e720","origin/codex/week5-first-conduction-gp","0","0","0","2",".venv/;data/","0","0","0","True","True","True","False","False","KEEP_UNCERTAIN","False","Unique CSV SHA256 964A12D86435E9F0879E2E43384D997E1CC2FAA7B9E4C3AEB49CF0E73E3FB154.","Contains an ignored virtual environment and a locally unique 17,421,654-byte final-labels_all.csv."
"C:\Users\ozgur\Documents\thesis-week6-melt-pool-audit","0","0","registered_missing_worktree","codex/week6-phase4-new-outputs-feature-effects","cba151880fc670d1b8a20ff2f7f25295f9bcb892","","0","0","0","0","","0","0","0","False","False","False","False","True","SAFE_REDUNDANT_WORKTREE","True","No directory exists, so metadata pruning cannot delete files.","Filesystem path is absent; only stale registered metadata remains."
"C:\Users\ozgur\Documents\thesis-week7-comprehensive-presentation","0","0","registered_missing_worktree","codex/week7-comprehensive-presentation","167aad945b20822de712e891e901bd3ec6d5ffc6","","0","0","0","0","","0","0","0","False","False","False","False","True","SAFE_REDUNDANT_WORKTREE","True","No directory exists, so metadata pruning cannot delete files.","Filesystem path is absent; only stale registered metadata remains."
"C:\Users\ozgur\Documents\thesis-week7-phase3-new-data-model-stability","0","0","registered_missing_worktree","codex/week7-phase3-new-data-model-stability","1118d30f3199a97b9836591f8fdea75b46dfac0d","","0","0","0","0","","0","0","0","False","False","False","False","True","SAFE_REDUNDANT_WORKTREE","True","No directory exists, so metadata pruning cannot delete files.","Filesystem path is absent; only stale registered metadata remains."
"C:\Users\ozgur\Documents\thesis-week7-phase4-new-data-feature-effects-depth-diagnostics","0","0","registered_missing_worktree","codex/week7-phase4-new-data-feature-effects-depth-diagnostics","5b7004017cadc5ecd0eb128f2031f9148ed70900","","0","0","0","0","","0","0","0","False","False","False","False","True","SAFE_REDUNDANT_WORKTREE","True","No directory exists, so metadata pruning cannot delete files.","Filesystem path is absent; only stale registered metadata remains."
"C:\Users\ozgur\Documents\thesis-week7-phase5-5-g3-robustness-transfer","0","0","registered_missing_worktree","codex/week7-phase5-5-g3-robustness-transfer","6cc2ea150b9deb6ec9dd529d94ac55cc86556cfb","","0","0","0","0","","0","0","0","False","False","False","False","True","SAFE_REDUNDANT_WORKTREE","True","No directory exists, so metadata pruning cannot delete files.","Filesystem path is absent; only stale registered metadata remains."
"C:\Users\ozgur\Documents\thesis-week7-phase5-keyhole-physical-proxy-analysis","0","0","registered_missing_worktree","codex/week7-phase5-keyhole-physical-proxy-analysis","3367f4c9b5af2def802f72a65258f5cc01896bac","","0","0","0","0","","0","0","0","False","False","False","False","True","SAFE_REDUNDANT_WORKTREE","True","No directory exists, so metadata pruning cannot delete files.","Filesystem path is absent; only stale registered metadata remains."
