claim_id,statement,source_artifact,source_filter_or_metric,physical_boundary_certainty_claim
H01,"At 40 simulator queries, Binary reaches 81.2% mean B1-q20 empirical near-boundary accuracy, versus 76.8% for Random (+4.4 percentage points).",outputs/week8_01_final_sample_efficiency/budget_snapshot_b1.csv,"budget=40; methods=Binary,Random; mean_q20_accuracy",False
H02,"At 40 queries, Binary reaches 86.2% mean B1-q30 accuracy, versus 83.2% for Random (+3.0 percentage points).",outputs/week8_01_final_sample_efficiency/budget_snapshot_b1.csv,"budget=40; methods=Binary,Random; mean_q30_accuracy",False
H03,"For B1-q20 accuracy >=80%, Binary succeeds in 18/20 runs with median first crossing 16 queries; Random succeeds in 14/20 with median 30 among successful runs.",outputs/week8_01_final_sample_efficiency/queries_to_accuracy_target.csv,"B1; q20; target=0.80; methods=Binary,Random",False
H04,Binary's mean 79.7% B1-q20 accuracy at budget 30 is first matched by the observed Random mean curve at about 70 queries: approximately 40 saved simulator calls (2.33x query equivalent).,outputs/week8_01_final_sample_efficiency/random_equivalent_budget.csv,binary_budget=30,False
H05,"Binary's mean 81.2% B1-q20 accuracy at budget 40 is not matched by Random by budget 80, implying >40 saved calls and a >2.00x lower-query equivalent within the observed horizon.",outputs/week8_01_final_sample_efficiency/random_equivalent_budget.csv,binary_budget=40; status=not_matched_by_80,False
H06,"At budget 30, Binary has discovered 12.20 Keyhole simulations on average, versus 5.45 for Random; discovery is a secondary diagnostic, not a boundary-localization metric.",outputs/week8_01_final_sample_efficiency/keyhole_discovery_by_budget.csv,"budget=30; methods=Binary,Random",False
H07,"At budget 40, 48.2% of held-out B1-q20 predictions carry at least 80% saved GPC confidence, and 93.3% of that high-confidence band is correct.",outputs/week8_01_final_sample_efficiency/predictive_confidence_summary.csv,budget=40; subset=B1_q20,False
H08,"Binary's B1-q20 accuracy AULC is 0.8138, compared with 0.7711 for Random over the common 16-80 budget grid.",outputs/week8_02_thesis_consolidation/final_real_data_scorecard.csv,"methods=Binary,Random; mean_B1_q20_accuracy_aulc",False
H09,"The Binary advantage over Random is robust in direction under B2 and B3 q20 error AULC (reductions 0.0549 and 0.0492, respectively).",outputs/week8_02_thesis_consolidation/final_real_data_scorecard.csv,"methods=Binary,Random; B2/B3 q20 error AULC",False
H10,"All sample-efficiency results are offline/retrospective: held-out saved simulations were hidden until queried, but no new simulator campaign or prospective closed loop was run.",outputs/week8_01_final_sample_efficiency/phase8_01_preflight.json,offline_retrospective_benchmark=true; prospective_new_simulator_validation=false,False
