response,response_label,target_unit,model,fold_index,heldout_simulation_id,training_size,population_size,optimized_kernel,optimized_signal_variance_normalized,optimized_length_scale,optimized_noise_variance_normalized,optimized_noise_std_target_unit,noise_std_fraction_training_target_std,noise_std_fraction_dataset_target_median,numerical_alpha_normalized,optimizer,n_restarts_optimizer,log_marginal_likelihood,runtime_seconds,warning_count,convergence_warning_count,warnings,failed_fold,constant_bound_hit,length_scale_bound_hit,noise_bound_hit,any_hyperparameter_bound_hit,fold_random_seed
kinetic_energy,T0 melt-pool kinetic energy,nJ,matern32_learned_nugget,0,sim_00001,240,241,"10.6**2 * Matern(length_scale=48.4, nu=1.5) + WhiteKernel(noise_level=0.0462)",112.1218252147611,48.35834648094705,0.04623149366938199,0.16605703533093744,0.21501510102637442,0.1085580630812562,1e-08,fmin_l_bfgs_b,1.0,-7.388524903007323,2.0728676000144333,0,0,,False,False,False,False,False,2418251815.0
kinetic_energy,T0 melt-pool kinetic energy,nJ,matern32_learned_nugget,1,sim_00002,240,241,"10.4**2 * Matern(length_scale=47.2, nu=1.5) + WhiteKernel(noise_level=0.0462)",107.79151683788356,47.24816712002769,0.046205121678214424,0.16588575101753997,0.21495376637364236,0.10844608773940106,1e-08,fmin_l_bfgs_b,1.0,-7.553974937093557,2.7145404999610037,0,0,,False,False,False,False,False,1939703861.0
kinetic_energy,T0 melt-pool kinetic energy,nJ,matern32_learned_nugget,2,sim_00003,240,241,"10.7**2 * Matern(length_scale=48.5, nu=1.5) + WhiteKernel(noise_level=0.0464)",113.5054169745079,48.47967191296592,0.04635433597036153,0.1660535956850116,0.21530057122627783,0.10855581444843766,1e-08,fmin_l_bfgs_b,1.0,-7.6848400157185495,1.2895449000643566,0,0,,False,False,False,False,False,3448130654.0
kinetic_energy,T0 melt-pool kinetic energy,nJ,matern32_learned_nugget,3,sim_00004,240,241,"10.2**2 * Matern(length_scale=46.7, nu=1.5) + WhiteKernel(noise_level=0.0461)",104.76854199045968,46.684174758500234,0.046060628767059554,0.16573891457983253,0.21461740089531314,0.10835009494249545,1e-08,fmin_l_bfgs_b,1.0,-7.257078895064012,1.8132234000368044,0,0,,False,False,False,False,False,2335235681.0
kinetic_energy,T0 melt-pool kinetic energy,nJ,matern32_learned_nugget,4,sim_00005,240,241,"10.4**2 * Matern(length_scale=47.5, nu=1.5) + WhiteKernel(noise_level=0.0461)",108.5029628188011,47.461386547830756,0.04610764356790929,0.1658494649570427,0.2147269046205186,0.1084223661040209,1e-08,fmin_l_bfgs_b,1.0,-7.323570905749477,1.94065879995469,0,0,,False,False,False,False,False,2772296513.0
kinetic_energy,T0 melt-pool kinetic energy,nJ,matern32_learned_nugget,5,sim_00006,240,241,"10.3**2 * Matern(length_scale=46.7, nu=1.5) + WhiteKernel(noise_level=0.0461)",105.30393261923946,46.745744801795695,0.04608655866480692,0.16573268997137855,0.21467780198429207,0.10834602566933363,1e-08,fmin_l_bfgs_b,1.0,-7.345520105503681,1.7468792999861762,0,0,,False,False,False,False,False,2204886821.0
kinetic_energy,T0 melt-pool kinetic energy,nJ,matern32_learned_nugget,6,sim_00007,240,241,"10.4**2 * Matern(length_scale=47.4, nu=1.5) + WhiteKernel(noise_level=0.0461)",107.98772253868692,47.384636740256674,0.04611550392093787,0.1659246205793005,0.21474520698012767,0.10847149831191388,1e-08,fmin_l_bfgs_b,1.0,-7.272154073046664,1.221849099965766,0,0,,False,False,False,False,False,3766955848.0
kinetic_energy,T0 melt-pool kinetic energy,nJ,matern32_learned_nugget,7,sim_00008,240,241,"10.7**2 * Matern(length_scale=48.6, nu=1.5) + WhiteKernel(noise_level=0.0463)",113.95492416970886,48.592702278842125,0.04631026486967109,0.16605865708188633,0.21519819903909762,0.10855912328410434,1e-08,fmin_l_bfgs_b,1.0,-7.547530265174714,1.284125700010918,0,0,,False,False,False,False,False,2552328334.0
kinetic_energy,T0 melt-pool kinetic energy,nJ,matern32_learned_nugget,8,sim_00009,240,241,"10.4**2 * Matern(length_scale=47.1, nu=1.5) + WhiteKernel(noise_level=0.0461)",107.21803210346482,47.113420348528486,0.04612993375479252,0.16585704732069406,0.21477880192140125,0.10842732299554873,1e-08,fmin_l_bfgs_b,1.0,-7.4081071885198355,1.5633822000818327,0,0,,False,False,False,False,False,2876459669.0
kinetic_energy,T0 melt-pool kinetic energy,nJ,matern32_learned_nugget,9,sim_00010,240,241,"10.5**2 * Matern(length_scale=48, nu=1.5) + WhiteKernel(noise_level=0.0462)",111.15627786447325,47.986962195009625,0.046212108060847974,0.1659591214547381,0.2149700166554582,0.10849405290109253,1e-08,fmin_l_bfgs_b,1.0,-7.433125530382057,1.4235661999555305,0,0,,False,False,False,False,False,1754805099.0
kinetic_energy,T0 melt-pool kinetic energy,nJ,matern32_learned_nugget,10,sim_00011,240,241,"10.3**2 * Matern(length_scale=46.8, nu=1.5) + WhiteKernel(noise_level=0.0462)",105.54823182188434,46.75857846166299,0.04617774970554058,0.16585474575067427,0.21489008749949493,0.1084258183680399,1e-08,fmin_l_bfgs_b,1.0,-7.559999733603718,2.7626345000462607,0,0,,False,False,False,False,False,3890491138.0
kinetic_energy,T0 melt-pool kinetic energy,nJ,matern32_learned_nugget,11,sim_00012,240,241,"10.4**2 * Matern(length_scale=47.4, nu=1.5) + WhiteKernel(noise_level=0.0461)",108.20063740223885,47.428022004697105,0.04614728817699207,0.16596948136408557,0.21481919880911968,0.1085008255842867,1e-08,fmin_l_bfgs_b,1.0,-7.322439394676621,1.5442968000425026,0,0,,False,False,False,False,False,3727710199.0
