claim_id,category,claim,status,evidence_level,primary_or_secondary,supporting_phase,supporting_artifact,exact_metric,allowed_wording,forbidden_overclaim,caveat
C01,SUPPORTED PRIMARY CLAIMS,Binary active learning is more sample-efficient than random for empirical manual-label boundary localization.,SUPPORTED,primary matched retrospective benchmark,primary,Week 8 Phase 1,outputs/week8_01_final_sample_efficiency/random_equivalent_budget.csv; outputs/week8_02_thesis_consolidation/final_real_data_scorecard.csv,B1-q20 accuracy AULC 0.8138 vs 0.7711; Binary budget 30 matched by Random at 70,Binary was more sample-efficient than Random for held-out empirical B1-q20/q30 classification in this offline benchmark.,Binary is universally optimal or prospectively proven on new simulator campaigns.,Twenty matched repeated-CV runs reuse the same 405 saved simulations.
C02,SUPPORTED PRIMARY CLAIMS,Binary uncertainty-repulsion is the final primary real-data acquisition.,SUPPORTED,preregistered Phase 7 decision,primary,Week 7 Phase 7,outputs/week7_07_final_boundary_hybrid_benchmark/phase7_final_decision.csv,decision = BINARY ACQUISITION PRIMARY; both Hybrid success flags false,The final recommended real-data strategy is Binary GPC plus binary uncertainty-repulsion.,"The method dominates every target, metric, or domain.",Max-Depth retains a secondary physical-comparator role.
C03,SUPPORTED SECONDARY / DIAGNOSTIC CLAIMS,Max-Depth has stronger global balanced-accuracy and sensitivity trajectories under the Phase 6/7 benchmark.,SUPPORTED,secondary global predictive evidence,secondary,Week 7 Phase 6 and Week 8 consolidation,outputs/week7_06_real_data_boundary_active_level_set/phase6_formulation_scorecard.csv; outputs/week8_02_thesis_consolidation/final_real_data_scorecard.csv,balanced-accuracy AULC 0.9432 vs Binary 0.9171; sensitivity AULC 0.9376 vs 0.8532,Max-Depth is the stronger secondary global classifier/physical comparator in this benchmark.,Max-Depth is therefore the best boundary-localization acquisition.,Global accuracy and near-boundary error answer different questions.
C04,SUPPORTED PRIMARY CLAIMS,Max-Depth does not improve Binary boundary acquisition in the two tested Hybrids.,SUPPORTED,preregistered negative result,primary,Week 7 Phase 7,outputs/week7_07_final_boundary_hybrid_benchmark/phase7_preregistered_rule_outcome.csv,Neither gate20 nor equal-rank fusion met the robust success rule.,Neither of the two fixed Hybrids improved on Binary under the preregistered hierarchy.,All possible hybrid uses of physical side information are useless.,"Only two fixed, untuned Hybrid formulations were tested."
C05,SUPPORTED SECONDARY / DIAGNOSTIC CLAIMS,G3 perfectly separates new-data but has a partition-dependent threshold.,SUPPORTED,secondary proxy and transfer evidence,secondary,Week 7 Phases 5 and 5.5,outputs/week7_05_keyhole_physical_proxy_analysis/results_summary.md; outputs/week7_05_5_g3_robustness_transfer_analysis/results_summary.md,new-data ROC AUC/AP/LOO balanced accuracy = 1.0000; worst transfer balanced accuracy = 0.8125,G3 is a strong scalar companion with partition-shift caveats.,G3 defines a universal morphology boundary.,Manual cavity-based has_keyhole remains ground truth.
C06,CLAIMS WE MUST NOT MAKE,A universal G3 threshold is supported.,NOT SUPPORTED / PROHIBITED,explicit limitation,limitation,Week 7 Phase 5.5,outputs/week7_05_5_g3_robustness_transfer_analysis/results_summary.md,threshold is partition sensitive despite direction agreement,G3 thresholds transfer imperfectly and remain population dependent.,One G3 cutoff universally separates Keyhole physics.,Observed populations do not establish a physical constant.
C07,CLAIMS WE MUST NOT MAKE,A universal Max-Depth threshold is supported.,NOT SUPPORTED / PROHIBITED,explicit limitation,limitation,Week 7 Phase 6,outputs/week7_06_real_data_boundary_active_level_set/phase6_final_decision.csv,threshold_is_universal_physical_constant = False,"Max-Depth is a useful learned continuous comparator with online, queried-data thresholds.",The fitted depth threshold is a universal physical constant.,Thresholds depend on sampled data and partition.
C08,CLAIMS WE MUST NOT MAKE,Input-response associations establish causal effects.,NOT SUPPORTED / PROHIBITED,observational simulation-design limitation,limitation,Weeks 6-8,outputs/week7_07_final_boundary_hybrid_benchmark/phase7_final_decision.csv,causal_claim = False,Inputs are associated with saved physical responses under the sampled design.,Changing an input causes the reported response change by the fitted amount.,No causal intervention design was analyzed.
C09,CLAIMS WE MUST NOT MAKE,B1/B2/B3 are the true continuous physical boundary.,NOT SUPPORTED / PROHIBITED,construct-validity limitation,limitation,Week 7 Phase 7 and Week 8,outputs/week7_07_final_boundary_hybrid_benchmark/boundary_metric_definitions.csv,B1/B2/B3 are evaluation-only empirical subsets based on the 405 sampled points.,B1/B2/B3 are empirical near-boundary diagnostics for manual labels.,They locate the continuous physical transition surface exactly.,Membership is sample-density and definition dependent.
C10,SUPPORTED SECONDARY / DIAGNOSTIC CLAIMS,No acquisition universally dominates every synthetic benchmark.,SUPPORTED,multi-benchmark synthetic evidence,secondary,Synthetic Weeks 2-4,outputs/week4_09_gpc_bernoulli_sur_validation/combined/gpc_bernoulli_sur_validation_summary.csv,"q20 winners: uncertainty-repulsion on Branin, SUR-k25 on Hartmann4, entropy/margin on optional Ackley4",Method ranking depends on benchmark geometry and evaluation metric.,One acquisition is universally best.,Synthetic seed counts are 5/5/3 and Ackley is optional diagnostic evidence.
C11,CLAIMS WE MUST NOT MAKE,Repeated cross-validation is equivalent to independent new physical simulator trials.,NOT SUPPORTED / PROHIBITED,validation-design limitation,limitation,Week 8,outputs/week8_01_final_sample_efficiency/phase8_01_preflight.json,20 runs = 4 repeats x 5 folds on the same 405 saved simulations,The matched repeated-CV design quantifies retrospective held-out sample efficiency.,Twenty independent simulator campaigns confirmed the method.,Repeated folds are dependent through shared simulations.
C12,CLAIMS WE MUST NOT MAKE,Prospective new-simulator validation was performed.,NOT SUPPORTED / PROHIBITED,scope limitation,limitation,Week 8,outputs/week8_01_final_sample_efficiency/phase8_01_preflight.json,new_simulator_runs = False; offline_retrospective_benchmark = True,Outputs were hidden until queried in an offline benchmark over saved simulations.,The method was deployed in a live simulator loop.,Prospective confirmation remains future work.
