claim,status,guardrail
"PRIMARY — the full 8-feature width-dynamics block added to [P, VX, LS, ST] improves hard classification",NOT SUPPORTED,"q20 balanced accuracy / Keyhole recall / accuracy; 95% repeat-block CI, Holm-adjusted over six predeclared metrics"
PRIMARY — the same block improves ranking / probability quality,NOT SUPPORTED,q20 ROC-AUC / PR-AUC / Brier; read separately from the hard metrics
"The primary verdict is stable across evaluation regions (q20, q30, full)",QUALIFIED,"q20: nominal effect on none; q30: nominal effect on brier_score, keyhole_recall, pr_auc; full: nominal effect on brier_score"
Temporal width dynamics alone can classify the regime,NOT SUPPORTED,width_dynamics_only q20 balanced accuracy = 0.505 (chance = 0.500)
"SECONDARY — a 3-feature width-SHAPE subset added to [P, VX, LS, ST] improves prediction",SUPPORTED,"predeclared sensitivity, not the primary claim; q20 BA +0.0203 [+0.0094, +0.0313], consistent on q20/q30/full and mirrors the Phase 2 h-baseline pattern"
The five robust-derivative features are what neutralises the shape signal,QUALIFIED,"inference by subtraction (shape-only helps, shape+derivatives does not); no separate derivative-ablation experiment was run"
"Static width levels added to [P, VX, LS, ST] help",NOT SUPPORTED,"4d+static − 4d q20 BA = -0.0110 [-0.0207, -0.0012] (degrades)"
Width dynamics is largely redundant with the 4D inputs that generated it,SUPPORTED,"median R² of a width feature on [P, VX, LS, ST] = 0.58"
Transverse width features are marginally associated with the regime,SUPPORTED,"largest absolute Cliff's delta = 0.266 (robust_median_positive_dWdt_um_per_ms); marginal, not incremental"
Phase 2's published model numbers are reproduced exactly by this pipeline,SUPPORTED,phase2_reproduction_gate.csv: every reproduced mean matches to <1e-9
The four raw process inputs outperform the scalar physics coordinate h,NOT SUPPORTED,"4d_only − h_only q20 BA = -0.0101 [-0.0183, -0.0022]"
Results generalise to simulations with no usable width trace,NOT SUPPORTED,every model is scored only on the usable subset; trace loss is structured in P
This phase says anything about in-process monitoring hardware,NOT SUPPORTED,"SPH monitor traces only; no camera, no prospective experiment"
