figure_file,notebook_section,scientific_question,source_csv_or_file,simulations_included,x_axis,y_axis,units,visual_encodings,main_takeaway,caveat,presentation_priority,uses_human_labels,uses_actual_huggingface_frames
figures/01_phase3_5_experiment_tree.png,Overview,How is the regime-target study structured?,phase3_5_configuration.json,241,analysis flow,analysis flow,not applicable,boxes are study sections; arrows are dependencies,"Target selection follows provenance, geometry, labels, and robustness.","The diagram describes analysis order, not causal relationships.",core,False,False
presentation_ready_figures/01_phase3_5_experiment_tree.png,Overview,How is the regime-target study structured?,phase3_5_configuration.json,241,analysis flow,analysis flow,not applicable,boxes are study sections; arrows are dependencies,"Target selection follows provenance, geometry, labels, and robustness.","The diagram describes analysis order, not causal relationships.",presentation_copy,False,False
figures/02_data_label_population_flowchart.png,A,What populations reach the regime comparison?,label_population_audit.csv; simulation_active_interval_summary.csv,241,population flow,population flow,counts,green physical; grey technical; red limitation,"All labels align, but independent Keyhole evidence is sparse.",Human verification does not remove depth-seed circularity.,core,True,False
presentation_ready_figures/02_data_label_population_flowchart.png,A,What populations reach the regime comparison?,label_population_audit.csv; simulation_active_interval_summary.csv,241,population flow,population flow,counts,green physical; grey technical; red limitation,"All labels align, but independent Keyhole evidence is sparse.",Human verification does not remove depth-seed circularity.,presentation_copy,True,False
figures/03_label_count_overview.png,A,How many frames and simulations contain each stored label?,label_population_audit.csv,241,stored label,frame and simulation counts,counts,semantic label colours,Keyhole has 521 frames in only 9 simulations.,Frame counts are correlated within simulation.,core,True,False
presentation_ready_figures/03_label_count_overview.png,A,How many frames and simulations contain each stored label?,label_population_audit.csv,241,stored label,frame and simulation counts,counts,semantic label colours,Keyhole has 521 frames in only 9 simulations.,Frame counts are correlated within simulation.,presentation_copy,True,False
figures/04_scan_coverage_curve.png,A,How many simulations support each physical track position?,scan_coverage_summary.csv,241,normalized scan position s,simulation support fraction,dimensionless,solid valid melt; dashed recording coverage,Only 113 simulations retain active melt to s=1.0.,Coverage is observational and depends on termination settings and VX.,core,False,False
presentation_ready_figures/04_scan_coverage_curve.png,A,How many simulations support each physical track position?,scan_coverage_summary.csv,241,normalized scan position s,simulation support fraction,dimensionless,solid valid melt; dashed recording coverage,Only 113 simulations retain active melt to s=1.0.,Coverage is observational and depends on termination settings and VX.,presentation_copy,False,False
figures/05_observed_maximum_scan_position_by_vx.png,A,Is observed track coverage related to scan speed?,simulation_active_interval_summary.csv,241,last active-melt s,simulation count,normalized position,VX tertile,Track coverage is not exchangeable across VX strata.,The plot is descriptive and does not identify a causal VX effect.,supporting,False,False
figures/06_aggregate_depth_profiles_by_label_group.png,B,How does depth_um evolve along the physical scan track?,normalized_position_support.csv,up to 241; support-limited by group,normalized scan position s,Depth (µm),µm,median line; q25-q75 dark band; q10-q90 light band,"Keyhole-containing profiles differ, but only nine simulations supply that group.",Profiles use original observations binned by position; no interpolation or independence claim.,supporting,True,False
figures/07_aggregate_width_profiles_by_label_group.png,B,How does width_um evolve along the physical scan track?,normalized_position_support.csv,up to 241; support-limited by group,normalized scan position s,Width (µm),µm,median line; q25-q75 dark band; q10-q90 light band,"Keyhole-containing profiles differ, but only nine simulations supply that group.",Profiles use original observations binned by position; no interpolation or independence claim.,supporting,True,False
figures/08_aggregate_aspect_ratio_profiles_by_label_group.png,B,How does aspect_ratio evolve along the physical scan track?,normalized_position_support.csv,up to 241; support-limited by group,normalized scan position s,Depth / width,dimensionless,median line; q25-q75 dark band; q10-q90 light band,"Keyhole-containing profiles differ, but only nine simulations supply that group.",Profiles use original observations binned by position; no interpolation or independence claim.,core,True,False
presentation_ready_figures/08_aggregate_aspect_ratio_profiles_by_label_group.png,B,How does aspect_ratio evolve along the physical scan track?,normalized_position_support.csv,up to 241; support-limited by group,normalized scan position s,Depth / width,dimensionless,median line; q25-q75 dark band; q10-q90 light band,"Keyhole-containing profiles differ, but only nine simulations supply that group.",Profiles use original observations binned by position; no interpolation or independence claim.,presentation_copy,True,False
figures/09_aggregate_profile_contributing_counts.png,B,Where are aggregate profiles adequately supported?,normalized_position_support.csv,241,normalized scan position s,contributing simulations,count,all-simulation support line and threshold,Profile interpretation must stop as support falls near the track end.,Group-specific thresholds are stricter when a group is small.,supporting,False,False
