phase2_requirement,notebook_section,output_file,validation_status
Fixed scope and Phase 1 provenance,§1–2,phase2_model_configuration.json,PASS
Exact four-feature input policy,§2,phase2_input_target_table.csv,PASS
Three observation treatments explained,§3,phase2_model_configuration.json,PASS
Moving-block target-summary bootstrap,§4,target_summary_uncertainty_estimates.csv,PASS
Half/base/double block sensitivity,§4,block_bootstrap_sensitivity.csv,PASS
Fold-local X and y scaling,§5,hyperparameter_fold_diagnostics.csv,PASS
Width 3-method LOO comparison,§6,width_loo_predictions.csv,PASS
Length 3-method LOO comparison,§7,length_loo_predictions.csv,PASS
Depth 3-method LOO comparison,§8,depth_loo_predictions.csv,PASS
Point and uncertainty metrics,§6–9,all_model_metrics.csv,PASS
Learned effective nugget,§9,learned_nugget_summary.csv,PASS
Observation-specific alpha,§9,heteroskedastic_alpha_summary.csv,PASS
Paired error analysis,§10,paired_method_comparisons.csv,PASS
"10,000-resample paired bootstrap",§10,paired_bootstrap_summary.csv,PASS
Target-specific method selection,§11,preferred_method_selection.csv,PASS
Stable-window sensitivity,§12,stable_subset_sensitivity.csv,PASS
Concise model-ready table,§13,phase2_model_ready_summary.csv,PASS
Optimizer and bound diagnostics,§14,hyperparameter_fold_diagnostics.csv,PASS
Automated 24-check validation,§15,validation_results.csv,PASS
Scientific decision log,§16,phase2_decision_log.md,PASS
Strictly no later-phase work,§1/§16,results_summary.md,PASS
