requirement_id,requirement,status,notebook_section,output_artifact,validation_ids
P2-01,Exact Week 6 definitions traced to executable sources,PASS,Notebook §2,week6_definition_traceability.csv,V14
P2-02,"Monitor existence, schema, rows, units and invalid values audited",WARNING,Notebook §3,monitor_schema_compatibility.csv,V04;V05;V06
P2-03,Smallest domain compatibility layer verified on exact matches,PASS,Notebook §3,domain_mapping_compatibility.csv,V14
P2-04,Active region and T0 reconstructed without redefining T0,WARNING,Notebook §4,active_region_diagnostics.csv,V04;V07;V12;V13
P2-05,"Representative normal, edge and suspicious time series plotted",PASS,Notebook §5,representative_simulation_selection.csv; figures/representative_*.png,V08
P2-06,One-row-per-simulation target table saved as CSV and Parquet,PASS,Notebook §6,sph_v2_simulation_level_targets.csv; sph_v2_simulation_level_targets.parquet,V02;V07;V17
P2-07,Width/depth/height/kinetic T0 and maximum responses retained,PASS,Notebook §6,sph_v2_simulation_level_targets.csv,V08;V09;V11
P2-08,"Length retained as diagnostic, not promoted to primary target",PASS,Notebook §6,sph_v2_simulation_level_targets.csv,V08
P2-09,Exact old/new matches compared without fuzzy matching,PASS,Notebook §7,week6_exact_identifier_map.csv; exact_old_new_target_comparison.csv,V15
P2-10,"Target distributions audited overall, by partition and Keyhole",PASS,Notebook §8,target_distribution_summary.csv; figures/03_*.png–06_*.png,V08;V09
P2-11,T0 versus extreme-event timing diagnosed,PASS,Notebook §9,t0_extreme_event_diagnostics.csv; figures/07_*.png–10_*.png,V11;V12;V13
P2-12,Depth bounding-box ambiguity flagged and a small set visually reviewed without exclusion,WARNING,Notebook §10,flagged_depth_ambiguity.csv,V20
P2-13,Failures and warnings retained explicitly,WARNING,Notebook §11,extraction_failure_anomalies.csv,V04;V07
P2-14,Validation dashboard and machine-readable summary written,PASS,Notebook §12,validation_results.csv; summary.json,V01;V02
P2-15,No label changed and no simulation silently removed,PASS,Notebook §12,validation_results.csv,V16;V17
P2-16,Hard stop before modelling and active learning,PASS,Notebook §12,validation_results.csv,V18
P2-17,Executed teaching notebook contains no stored errors,PASS,Notebook §§1–12,notebooks/week_07/02_sph_v2_physical_target_extraction.ipynb,V19
P2-18,"Supervisor-confirmed no-melt sentinel audited, narrowly parsed, and regression-tested",PASS,Notebook §3A,sentinel_audit.csv; supervisor_correction_before_after.csv; new_data_readiness_summary.csv,V21;V22;V23;V24;V25;V26;V27;V28;V29;V30
