question_id,question,answer,evidence
Q1,Does T0 depth separate manual Keyhole from non-Keyhole?,"Yes, strongly but not perfectly.",AUC=0.958; held-out balanced accuracy=0.779.
Q2,Does maximum depth improve materially over T0 depth?,Yes.,Paired AUC delta=0.042.
Q3,Does G3 improve materially over T0 depth?,Yes.,Paired AUC delta=0.042.
Q4,Does R3 improve materially over T0 depth?,Yes.,Paired AUC delta=0.041.
Q5,Which metric works best for brief/transient Keyhole events?,G3,Held-out transient sensitivity=1.000.
Q6,Which works best for persistent Keyhole?,G3,Held-out persistent sensitivity=1.000.
Q7,Does a single stable threshold exist for any main candidate?,Yes: G3.,Top stability=stable; held-out balanced accuracy=1.000.
Q8,Which metric is most physically interpretable as a level-set quantity?,G3 persistent depth,It is a dimensional depth with an explicit physical-distance persistence window; max depth is spike-sensitive and R3 couples depth with width.
Q9,Does any metric fail precisely because the label is morphological rather than scalar?,"Some discordance remains for weaker summaries; it is diagnostic, not proof that labels are wrong.",Manual cavity morphology was not assigned from a reported scalar threshold.
Q10,Which target should Phase 6 carry forward?,Carry G3 as the predefined continuous candidate and compare its threshold/level-set formulation against the unchanged binary has_keyhole reference.,Final Phase 5 decision=CONTINUOUS PROXY CANDIDATE; Phase 4 consensus hard cases with top-proxy discordance=0/21.
