model,subset,end_budget,mean_AULC,ci_lower,ci_upper
P0,B1_q20,40,0.8105160863442112,0.8020444201848498,0.8187953056203058
P0,B1_q20,80,0.8219394696015788,0.814582501493732,0.8292928807276707
P0,B1_q30,40,0.8457022072189326,0.8392383402530962,0.8522505831338257
P0,B1_q30,80,0.8572313849744463,0.8520742399558852,0.8623504935077085
P1,B1_q20,40,0.8073525166962666,0.8003649541503057,0.8142032641837329
P1,B1_q20,80,0.8231148167154027,0.8159515984883173,0.8302798993757979
P1,B1_q30,40,0.844933033011146,0.8404504667797664,0.849246735876977
P1,B1_q30,80,0.8600666853371584,0.855932542794673,0.8640913906024182
P2,B1_q20,40,0.8047925055268805,0.7940092207777755,0.8143634020204333
P2,B1_q20,80,0.816100372067169,0.8091281855839473,0.8229705428225204
P2,B1_q30,40,0.839601768016931,0.8309570722259255,0.8473486154899202
P2,B1_q30,80,0.8512591303427367,0.8462977554912431,0.8563797549509072
