benchmark_population,run_id,repeat,fold,method,formulation,query_order,selection_stage,population_row_index,experiment_name,partition,P,VX,LS,ST,revealed_has_keyhole,revealed_max_depth_um,revealed_G3_um,empirical_boundary_distance_evaluation_only,boundary_score_consulted_before_selection,hidden_label_consulted_before_selection,hidden_physical_response_consulted_before_selection,known_before_query,revealed_by_query,acquisition_metadata_json
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,1,shared_sequential_random_warm_start,339,P-99p0936052974_VX-0p300439480401_LS-4p95355776339e-05_ST-340p036700638_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p60568797302e-05_H-701e6757d1,old-data-local,99.0936052974,0.300439480401,4.95355776339e-05,340.036700638,0,51.022310000000004,50.76388,1.264387191161119,False,False,False,"P,VX,LS,ST","manual has_keyhole,max_depth,G3_if_available","{""shared_permutation_position"": 0}"
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,2,shared_sequential_random_warm_start,320,P-78p3109819881_VX-0p819836919071_LS-8p42620704062e-05_ST-359p367913591_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p88424415978e-06_H-cedd8dc36d,old-data-local,78.3109819881,0.819836919071,8.42620704062e-05,359.367913591,0,19.117600000000003,18.9878,2.7842426561241993,False,False,False,"P,VX,LS,ST","manual has_keyhole,max_depth,G3_if_available","{""shared_permutation_position"": 1}"
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,3,shared_sequential_random_warm_start,77,P-260p125654688_VX-0p378472963537_LS-6p21275317791e-05_ST-359p026868384_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p27462753427e-05_H-0602c4a780,new-data,260.125654688,0.378472963537,6.21275317791e-05,359.026868384,0,86.94682999999999,86.74683,0.7647688655124604,False,False,False,"P,VX,LS,ST","manual has_keyhole,max_depth,G3_if_available","{""shared_permutation_position"": 2}"
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,4,shared_sequential_random_warm_start,364,P-162p201106716_VX-0p908426857038_LS-8p56302518524e-05_ST-395p218711567_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p31041169208e-06_H-b41981edcb,old-data-remote-clean,162.201106716,0.908426857038,8.56302518524e-05,395.218711567,0,43.3943,42.84402,2.888075605662368,False,False,False,"P,VX,LS,ST","manual has_keyhole,max_depth,G3_if_available","{""shared_permutation_position"": 3}"
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,5,shared_sequential_random_warm_start,52,P-212p944274192_VX-0p351323873231_LS-4p80439392259e-05_ST-351p894554175_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-1p37312632889e-05_H-7c2e16b959,new-data,212.944274192,0.351323873231,4.80439392259e-05,351.894554175,1,119.0752,114.5273,0.6187742015491088,False,False,False,"P,VX,LS,ST","manual has_keyhole,max_depth,G3_if_available","{""shared_permutation_position"": 4}"
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,6,shared_sequential_random_warm_start,393,P-243p325077963_VX-0p998321353283_LS-5p70160449472e-05_ST-337p156153016_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-4p83223221376e-06_H-d7a336064e,old-data-remote-clean,243.325077963,0.998321353283,5.70160449472e-05,337.156153016,0,59.27349,58.932255,1.7170541977419052,False,False,False,"P,VX,LS,ST","manual has_keyhole,max_depth,G3_if_available","{""shared_permutation_position"": 5}"
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,7,shared_sequential_random_warm_start,243,P-183p86712976_VX-0p92773562332_LS-4p77447546287e-05_ST-393p876492884_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-5p19988721113e-06_H-95ed9fb76f,old-data-local,183.86712976,0.92773562332,4.77447546287e-05,393.876492884,0,55.367140000000006,54.833909999999996,1.6196448735346667,False,False,False,"P,VX,LS,ST","manual has_keyhole,max_depth,G3_if_available","{""shared_permutation_position"": 6}"
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,8,shared_sequential_random_warm_start,152,P-429p223744451_VX-0p993777087019_LS-4p49939505126e-05_ST-337p477091824_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-4p8543286679e-06_H-c87ffcf9e3,new-data,429.223744451,0.993777087019,4.49939505126e-05,337.477091824,1,115.89620000000001,109.3287,0.4435659871271194,False,False,False,"P,VX,LS,ST","manual has_keyhole,max_depth,G3_if_available","{""shared_permutation_position"": 7}"
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,9,shared_sequential_random_warm_start,24,P-157p183722649_VX-0p714259673467_LS-7p38607203139e-05_ST-347p368293375_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-6p75401507634e-06_H-add9572a86,new-data,157.183722649,0.714259673467,7.38607203139e-05,347.368293375,0,51.23838,50.91924,1.5831222227177468,False,False,False,"P,VX,LS,ST","manual has_keyhole,max_depth,G3_if_available","{""shared_permutation_position"": 8}"
primary_common,primary_common__r01_f01,1,1,max_depth_random,max_depth,10,shared_sequential_random_warm_start,245,P-186p021611878_VX-0p483877556354_LS-6p53069178085e-05_ST-388p836932905_M-TI64_XI-0p0002_XF-0p0014_XL-0p0012_TE-0p0021_DT-9p96971349398e-06_H-b40dbd8ddd,old-data-local,186.021611878,0.483877556354,6.53069178085e-05,388.836932905,0,74.92757999999999,74.76677,1.210410370242543,False,False,False,"P,VX,LS,ST","manual has_keyhole,max_depth,G3_if_available","{""shared_permutation_position"": 9}"
