figure_number,figure,relative_path,filename,title,question,source_artifacts,population,units,evaluation_status,training_evaluation_status,major_caveat,sha256,bytes,nominal_width_px,nominal_height_px,population_units_method_caveat_in_figure,population_units_status_caveat_visible,meaningful_explanatory_figure
1,figures/01_combined_population_readiness.png,figures/01_combined_population_readiness.png,01_combined_population_readiness.png,Combined population readiness by audited partition,Which retained rows support the primary and three-way comparisons?,population_audit.csv,407 retained simulation rows,simulation count,descriptive provenance/readiness audit,descriptive provenance/readiness audit,ineligible rows remain visible; the primary Binary arm may not use rows unavailable to maximum depth,fbec64ab347f80e68c6020d9a25d656b2b5827bded9e9bd68828820bd1f1a384,77190,1800,972,True,True,True
2,figures/02_label_composition_primary_common.png,figures/02_label_composition_primary_common.png,02_label_composition_primary_common.png,Manual Keyhole label composition in the primary common population,How imbalanced is the manual reference label?,primary_common_population.csv,405 exact Binary/Max-Depth-ready simulations,simulation count,descriptive full-common composition,descriptive full-common composition,has_keyhole means at least one valid saved physical frame was manually labelled Keyhole; it is not a scalar-derived label,2a5f3793524199749ccc1b4a84d3c378bdf903310fffa78f8d9c4194bba892dd,53810,1350,936,True,True,True
3,figures/03_partition_composition_primary_common.png,figures/03_partition_composition_primary_common.png,03_partition_composition_primary_common.png,Primary common population by partition and manual label,How do label prevalence and sample size differ across old/new source partitions?,primary_common_population.csv,405 exact primary-common simulations,simulation count,descriptive composition; old/new is not the primary split,descriptive composition; old/new is not the primary split,partition imbalance motivates a secondary transfer stress test but does not replace repeated combined-data validation,1bc941ba8668aee240ef2acd507e6c753debe7600741176110385bc56ac70cad,69414,1710,954,True,True,True
4,figures/04_max_depth_distribution_by_manual_label.png,figures/04_max_depth_distribution_by_manual_label.png,04_max_depth_distribution_by_manual_label.png,Maximum depth by manual Keyhole label,Does unchanged maximum depth separate the manual morphology labels?,primary_common_population.csv,405 common simulations,µm,descriptive full-common; not held-out,descriptive full-common; not held-out,association motivates a continuous formulation but does not prove semantic equivalence or held-out sample efficiency,df756ae16133630dc8ae9a962f9ed7fbca953161aec6b45caaa8d43165415a80,91875,1440,954,True,True,True
5,figures/05_g3_distribution_by_manual_label.png,figures/05_g3_distribution_by_manual_label.png,05_g3_distribution_by_manual_label.png,G3 persistent depth by manual Keyhole label,How does the secondary persistent-depth comparator separate labels?,secondary_g3_common_population.csv,404 common simulations,µm,descriptive full-common; not held-out,descriptive full-common; not held-out,G3 imposes a 50 µm persistence concept absent from the manual at-least-once saved-frame definition,31d30ff615487a5f8ba7da0bf7b8c40fd47389054b27fb82272675ca355ae464,93877,1440,954,True,True,True
6,figures/06_max_depth_vs_g3_by_manual_label.png,figures/06_max_depth_vs_g3_by_manual_label.png,06_max_depth_vs_g3_by_manual_label.png,"Maximum depth versus G3, colored by manual label",Do the transient-sensitive and persistence-sensitive continuous responses carry distinct information?,secondary_g3_common_population.csv,404 exact three-way complete simulations,maximum depth µm; G3 µm,descriptive full-common association,descriptive full-common association,correlation or separation does not establish causal or universal physical superiority,ee390d1cf3f9d1ea83772f63dfbd7ab76be39aa42a59064ef8a5b263c3c3a51a,98692,1368,1044,True,True,True
7,figures/07_max_depth_distribution_by_partition_and_label.png,figures/07_max_depth_distribution_by_partition_and_label.png,07_max_depth_distribution_by_partition_and_label.png,Maximum-depth separation within each source partition,Is the descriptive max-depth/label relationship visibly partition-dependent?,primary_common_population.csv,405 primary-common simulations across base partitions,maximum depth µm,descriptive partition robustness context,descriptive partition robustness context,small old-partition positive counts make visual separation imprecise; source-only thresholds are evaluated separately,da9c3fba439aaeaf5fabc85e3e40ed1f16d94987c7843f977266e0ffc831f321,79243,2700,936,True,True,True
8,figures/08_max_depth_event_timing_relative_to_t0.png,figures/08_max_depth_event_timing_relative_to_t0.png,08_max_depth_event_timing_relative_to_t0.png,Maximum-depth event timing relative to T0,"Does the deepest event occur before, inside, or after the unchanged T0 interval?",max_depth_event_audit.csv,full primary-common physical event audit,simulation count,descriptive semantic/timing audit,descriptive semantic/timing audit,timing categories audit the unchanged target definition; they do not redefine maximum depth,ecc40e728ecd081e2ac1a198da4a192f4101e675d646fa8b9ad1f12c5883125e,51682,1800,990,True,True,True
9,figures/09_max_depth_relative_to_saved_keyhole_timing.png,figures/09_max_depth_relative_to_saved_keyhole_timing.png,09_max_depth_relative_to_saved_keyhole_timing.png,Maximum-depth timing relative to saved Keyhole episode spans,Where does maximum depth occur relative to the span of saved Keyhole frames?,max_depth_event_audit.csv,full primary-common physical event audit,simulation count,descriptive semantic/timing audit,descriptive semantic/timing audit,episode-span membership is not exact frame-level morphology at the maximum-depth monitor sample,77d87351cd79e9e704ffb1a2b05b46aa130cb078bbac5ade2a47b46e753de108,69189,1800,990,True,True,True
10,figures/10_max_depth_event_timing_relative_to_active_region.png,figures/10_max_depth_event_timing_relative_to_active_region.png,10_max_depth_event_timing_relative_to_active_region.png,Maximum-depth timing relative to the active region,How often is the deepest event outside the pre-existing active-region window?,max_depth_event_audit.csv,full primary-common physical event audit,simulation count,descriptive semantic/timing audit,descriptive semantic/timing audit,"the active-region definition is inherited unchanged; this is a semantic audit, not target selection",ffbef7ba21a12ca83f21b9ccf40e6d5997c89f3cf993ad3719bf0b6a9bd3fceb,52853,1800,990,True,True,True
