benchmark,method,seed,query_number,budget_before_query,budget_after_query,selected_pool_index,true_boundary_distance,in_pool_boundary_band_q10,in_pool_boundary_band_q20,in_pool_boundary_band_q30,acquisition_selected_position,acquisition_selected_score,acquisition_beta,acquisition_quadrature_nodes,acquisition_alpha,acquisition_selected_normalized_straddle,acquisition_selected_normalized_diversity,acquisition_selected_raw_straddle,acquisition_selected_raw_diversity,acquisition_gate_fraction,acquisition_min_shortlist_size,acquisition_shortlist_size,acquisition_shortlist_fraction_actual,acquisition_selected_shortlist_position,acquisition_selected_gated_score
ackley,random,0,14,25,26,129,1.8836011829515016,False,False,False,129,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,15,26,27,1959,0.053559335185473955,True,True,True,1949,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,16,27,28,3001,1.647850499745216,False,False,False,2984,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,17,28,29,3141,2.5377363636862924,False,False,False,3121,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,18,29,30,3917,0.49638939118525016,False,False,True,3888,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,19,30,31,2019,1.7721109300421887,False,False,False,2008,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,20,31,32,341,1.619056038246514,False,False,False,339,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,21,32,33,2801,0.8385335864138792,False,False,False,2784,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,22,33,34,951,0.6380033884198433,False,False,False,943,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,23,34,35,1023,1.275513996865044,False,False,False,1014,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,24,35,36,19,1.3858842002681158,False,False,False,19,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,25,36,37,1015,0.7192262565348795,False,False,False,1005,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,26,37,38,3089,2.1932181215543114,False,False,False,3063,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,27,38,39,1312,0.21813945341850705,False,True,True,1299,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,28,39,40,2975,1.9003212353045509,False,False,False,2950,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,29,40,41,3947,0.13387468892516097,True,True,True,3907,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,30,41,42,2900,2.4383044079551546,False,False,False,2876,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,31,42,43,692,0.44067111084295796,False,False,True,686,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,32,43,44,374,0.4779398460069135,False,False,True,370,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,33,44,45,823,0.8608481988463534,False,False,False,812,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,34,45,46,993,0.9499087724001125,False,False,False,980,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,35,46,47,1599,1.5283129291560602,False,False,False,1580,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,36,47,48,2669,3.4690141904882683,False,False,False,2642,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,37,48,49,1385,0.7864010374451738,False,False,False,1367,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,38,49,50,3457,0.436363834845082,False,False,True,3414,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,39,50,51,3578,1.6646491166085937,False,False,False,3532,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,40,51,52,2141,2.742134238635364,False,False,False,2117,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,41,52,53,721,1.985237657510666,False,False,False,713,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,42,53,54,3248,0.20506001877656566,False,True,True,3205,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,43,54,55,511,0.10969167252092404,True,True,True,505,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,44,55,56,793,0.8306907062001248,False,False,False,782,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,45,56,57,776,0.20605512692767292,False,True,True,765,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,46,57,58,2285,0.3021398540934719,False,True,True,2256,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,47,58,59,1920,0.08711484004794912,True,True,True,1894,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,48,59,60,930,0.4499229870384891,False,False,True,914,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,49,60,61,3539,3.6347100833248263,False,False,False,3485,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,50,61,62,3983,1.2138654623133505,False,False,False,3922,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,51,62,63,2683,0.5185129666291495,False,False,True,2646,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,52,63,64,578,2.017735118670304,False,False,False,571,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,53,64,65,3663,1.4098445979889611,False,False,False,3604,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,54,65,66,3774,0.15699872139355797,True,True,True,3712,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,55,66,67,2366,1.333268115741829,False,False,False,2332,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,56,67,68,3741,1.0057860853087686,False,False,False,3679,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,57,68,69,606,0.4182233035998202,False,False,True,598,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,58,69,70,524,0.45578038053161585,False,False,True,517,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,59,70,71,3787,0.5447802820070731,False,False,True,3720,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,60,71,72,1928,1.3537515609472521,False,False,False,1897,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,61,72,73,3547,1.5372279361567163,False,False,False,3486,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,62,73,74,1137,2.2474222395476193,False,False,False,1112,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,63,74,75,304,1.063870405288112,False,False,False,302,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,64,75,76,2611,1.177088351690811,False,False,False,2568,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,65,76,77,2491,1.4044757944789872,False,False,False,2450,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,66,77,78,172,0.1323467130564051,True,True,True,170,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,67,78,79,454,0.7519899707652957,False,False,False,446,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,0,68,79,80,2776,1.4392694000089055,False,False,False,2727,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,1,12,13,1319,3.5394376096866136,False,False,False,1315,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,2,13,14,2696,0.4563017719380724,False,False,True,2684,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,3,14,15,1913,0.20020212806211646,True,True,True,1905,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,4,15,16,73,2.858224419201731,False,False,False,73,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,5,16,17,203,1.4783103410637217,False,False,False,202,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,6,17,18,2813,1.6495709981659843,False,False,False,2796,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,7,18,19,3413,3.9578840519441005,False,False,False,3395,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,8,19,20,3420,1.6145707896287096,False,False,False,3401,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,9,20,21,3381,3.00875379790471,False,False,False,3363,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,10,21,22,1598,1.2951989190757853,False,False,False,1591,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,11,22,23,282,0.5689640111457095,False,False,True,280,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,12,23,24,1119,0.15374564532293533,True,True,True,1113,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,13,24,25,744,2.6881880150667516,False,False,False,740,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,14,25,26,3006,0.009162738832454664,True,True,True,2984,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,15,26,27,3085,0.026057694506681273,True,True,True,3062,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,16,27,28,1923,1.2363169074914886,False,False,False,1908,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,17,28,29,1131,0.16229709596665565,True,True,True,1123,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,18,29,30,3881,1.6857273353665345,False,False,False,3852,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,19,30,31,3172,1.1586478748820177,False,False,False,3146,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,20,31,32,1106,0.36786352624100616,False,True,True,1099,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,21,32,33,3056,2.25063507322049,False,False,False,3030,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,22,33,34,2540,0.27427416256398907,False,True,True,2518,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,23,34,35,598,0.11855112144844959,True,True,True,595,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,24,35,36,352,0.34805052347034326,False,True,True,349,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,25,36,37,2834,0.09164819893941534,True,True,True,2806,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,26,37,38,37,0.4607364770132403,False,False,True,37,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,27,38,39,844,1.0369160086845426,False,False,False,836,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,28,39,40,3451,1.1949519235770705,False,False,False,3413,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,29,40,41,2610,2.0983021009170315,False,False,False,2583,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,30,41,42,2526,0.5390825950402931,False,False,True,2500,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,31,42,43,932,0.7533578793459146,False,False,False,922,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,32,43,44,713,1.293011226030405,False,False,False,707,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,33,44,45,2954,3.3949604525352406,False,False,False,2919,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,34,45,46,254,0.9071195670620771,False,False,False,251,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,35,46,47,1524,2.5749184543844414,False,False,False,1505,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,36,47,48,1176,3.68851009699007,False,False,False,1159,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,37,48,49,527,1.306274755761189,False,False,False,521,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,38,49,50,2232,1.8717227018986247,False,False,False,2202,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,39,50,51,2448,1.823708849822049,False,False,False,2415,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,40,51,52,1409,1.9420046898611467,False,False,False,1388,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,41,52,53,817,0.055815918067327885,True,True,True,806,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,42,53,54,1877,4.195842989667204,False,False,False,1849,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,43,54,55,1992,2.0929219418932377,False,False,False,1961,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,44,55,56,3361,0.9301874163921795,False,False,False,3311,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,45,56,57,3528,1.2984633243534685,False,False,False,3473,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,46,57,58,2844,2.009897251396417,False,False,False,2799,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,47,58,59,883,0.6662526068733481,False,False,False,869,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,48,59,60,3099,0.5197448503892765,False,False,True,3048,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,49,60,61,2333,1.128852474757025,False,False,False,2295,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,50,61,62,695,1.2501348705716353,False,False,False,687,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,51,62,63,3374,1.0161560725240903,False,False,False,3318,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,52,63,64,3587,0.18850901768863615,True,True,True,3525,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,53,64,65,602,1.1493052063101103,False,False,False,594,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,54,65,66,3362,1.4089994528680183,False,False,False,3305,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,55,66,67,334,0.7247863158346046,False,False,False,329,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,56,67,68,2161,1.5231826367095032,False,False,False,2123,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,57,68,69,2511,1.4927347373230688,False,False,False,2467,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,58,69,70,68,0.29312901790267176,False,True,True,67,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,59,70,71,1586,0.44893907991546733,False,False,True,1557,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,60,71,72,2935,0.14109388036828996,True,True,True,2880,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,61,72,73,1867,0.4825532221602824,False,False,True,1833,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,62,73,74,429,0.6276025906476139,False,False,False,421,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,63,74,75,1477,2.6469236346926017,False,False,False,1448,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,64,75,76,1114,0.38402349685428483,False,True,True,1091,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,65,76,77,1531,1.1765877026759117,False,False,False,1499,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,66,77,78,158,2.919096569393302,False,False,False,155,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,67,78,79,2882,1.7548303836591472,False,False,False,2821,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,1,68,79,80,1178,0.33294965907086116,False,True,True,1150,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,1,12,13,2413,0.5053483348127781,False,False,True,2405,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,2,13,14,1298,1.2755163146443493,False,False,False,1293,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,3,14,15,2493,3.1461298601929872,False,False,False,2483,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,4,15,16,3767,0.5997863151967575,False,False,True,3754,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,5,16,17,3483,2.2588065528677532,False,False,False,3470,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,6,17,18,1338,1.9707363168678,False,False,False,1332,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,7,18,19,483,2.8500339151026193,False,False,False,480,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,8,19,20,555,5.95796086907861,False,False,False,551,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,9,20,21,3431,0.8936573816310389,False,False,False,3415,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,10,21,22,1650,0.13048871625900382,True,True,True,1641,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,11,22,23,2036,0.6740881930812748,False,False,False,2025,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,12,23,24,73,0.3283969131998763,False,True,True,72,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,13,24,25,1112,0.26021056809754306,False,True,True,1104,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,14,25,26,3630,0.10963117545588652,True,True,True,3608,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,15,26,27,381,3.8092444671841985,False,False,False,378,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,16,27,28,2576,2.4711228744402476,False,False,False,2557,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,17,28,29,2681,1.4812656961588804,False,False,False,2660,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,18,29,30,2100,1.1503381047588537,False,False,False,2083,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,19,30,31,1260,1.7490400421287564,False,False,False,1250,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,20,31,32,3001,0.07767925383425833,True,True,True,2977,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,21,32,33,667,0.6336635625173717,False,False,False,659,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,22,33,34,2749,0.5431470061059738,False,False,True,2724,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,23,34,35,267,1.0510356073916451,False,False,False,264,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,24,35,36,1131,0.9937162899825172,False,False,False,1119,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,25,36,37,3207,1.7722573348839514,False,False,False,3177,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,26,37,38,787,1.46716515638923,False,False,False,777,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,27,38,39,421,0.04361566497427383,True,True,True,415,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,28,39,40,2837,1.382012014732366,False,False,False,2807,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,29,40,41,2471,1.2640035619674777,False,False,False,2446,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,30,41,42,2364,0.619856600545269,False,False,True,2340,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,31,42,43,3258,0.9258003777252206,False,False,False,3222,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,32,43,44,2867,0.2870454238117084,False,True,True,2834,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,33,44,45,674,0.6377091495480265,False,False,False,663,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,34,45,46,3493,0.31736538180202345,False,True,True,3452,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,35,46,47,1500,2.144456707733859,False,False,False,1481,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,36,47,48,3879,1.9437975042872697,False,False,False,3833,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,37,48,49,1665,0.6653534183614305,False,False,False,1644,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,38,49,50,1933,3.5580230010893974,False,False,False,1910,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,39,50,51,2425,1.5273665124249565,False,False,False,2395,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,40,51,52,3191,4.183844279808929,False,False,False,3150,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,41,52,53,1853,1.5411974184823283,False,False,False,1830,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,42,53,54,1917,0.47487105081142467,False,False,True,1893,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,43,54,55,345,0.3483408974264357,False,True,True,341,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,44,55,56,1742,1.4093856852272157,False,False,False,1718,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,45,56,57,3875,1.3896753842464253,False,False,False,3821,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,46,57,58,3909,0.061271947120594916,True,True,True,3852,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,47,58,59,783,0.4594073719518903,False,False,True,770,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,48,59,60,14,2.433731481539283,False,False,False,14,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,49,60,61,80,0.9313614643318893,False,False,False,77,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,50,61,62,1904,0.552877668655313,False,False,True,1875,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,51,62,63,3196,0.1690526427673067,True,True,True,3146,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,52,63,64,1966,0.9212994874361851,False,False,False,1934,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,53,64,65,3341,0.7440644374951546,False,False,False,3287,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,54,65,66,331,1.1316559076845252,False,False,False,325,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,55,66,67,917,0.7011371623945148,False,False,False,899,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,56,67,68,102,2.0589157340503323,False,False,False,98,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,57,68,69,2997,0.9415705287887537,False,False,False,2946,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,58,69,70,3851,1.936103831230783,False,False,False,3787,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,59,70,71,3541,0.6897785947530153,False,False,False,3479,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,60,71,72,3953,2.062235167944859,False,False,False,3882,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,61,72,73,3285,0.6972177901318091,False,False,False,3227,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,62,73,74,2919,2.3235613370367982,False,False,False,2868,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,63,74,75,3169,0.5095407537772072,False,False,True,3114,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,64,75,76,3005,2.800488433034314,False,False,False,2951,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,65,76,77,2680,2.295690265337223,False,False,False,2633,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,66,77,78,1719,0.8409386159432621,False,False,False,1689,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,67,78,79,3017,0.9831666683286198,False,False,False,2960,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,2,68,79,80,2327,0.7978785225474532,False,False,False,2286,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,3,1,12,13,1225,1.280740959421932,False,False,False,1224,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,3,2,13,14,1484,0.027431976082693765,True,True,True,1482,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,3,3,14,15,2250,1.3516422257879661,False,False,False,2245,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,3,4,15,16,821,1.8285835540484943,False,False,False,820,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,3,5,16,17,2782,3.7200236804905398,False,False,False,2772,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,3,6,17,18,3798,0.9874687583913921,False,False,False,3783,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,3,7,18,19,1313,1.3013406916122339,False,False,False,1310,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,3,8,19,20,1379,0.5735513269840027,False,False,True,1375,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,3,9,20,21,2278,0.5182510861678598,False,False,True,2269,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,3,10,21,22,2424,1.3123797625733502,False,False,False,2413,null,null,null,null,null,null,null,null,null,null,null,null,null,null
ackley,random,3,11,22,23,3085,2.1692988893647023,False,False,False,3067,null,null,null,null,null,null,null,null,null,null,null,null,null,null
