response,candidate,definition,available_simulation_count,retained_fraction,median_target_um,median_window_cv,p90_window_cv,median_absolute_relative_trend,p90_absolute_relative_trend,median_relative_difference_from_selected,median_relative_difference_when_laser_exits,median_relative_difference_when_laser_does_not_exit,selected_primary,scientific_caveat
melt_pool_depth_below_surface,final_recorded,single final row,171,0.7095435684647303,50.78788,,,,,0.04746849809506759,0.9177392528416819,0.0029915781057500467,False,"Endpoint may be cooldown, out-of-domain, or empty melt."
melt_pool_depth_below_surface,last_valid_melt_present,single last valid melt row,241,1.0,31.433780000000002,,,,,0.16791760416996662,1.0,0.002947144297287,False,Can represent a shrinking terminal fragment.
melt_pool_depth_below_surface,maximum,maximum over all melt-present rows,241,1.0,55.165389999999995,,,,,0.014842540980256287,0.016022886212769472,0.01058532618568897,False,Transient peak and one-step excursions can dominate.
melt_pool_depth_below_surface,full_melt_present_median,median over all melt-present rows,241,1.0,50.71651,0.3352148918115304,0.5599717217828389,0.7753628908780148,1.148269490752928,0.05057339577749797,0.05565596560093275,0.036436129997139174,False,"Blends formation, active scan, boundary effects, and cooldown."
melt_pool_depth_below_surface,final_20pct_melt_present_median,median over last 20% of melt-present observations,241,1.0,38.81103,0.08229824221238755,2.0851745836184628,0.25848809108681703,4.95736758040015,0.027078909723683216,1.0,4.206642629707004e-07,False,Retains cooldown/out-of-domain rows when recording extends beyond the track.
melt_pool_depth_below_surface,final_20pct_melt_present_mean,mean over last 20% of melt-present observations,241,1.0,38.80948577759871,0.08229824221238755,2.0851745836184628,0.25848809108681703,4.95736758040015,0.09865205185820371,0.8697412743768455,0.0003962999490722593,False,Retains cooldown/out-of-domain rows and is less spike-robust than a median.
melt_pool_depth_below_surface,final_20pct_before_90pct_domain_exit_median,median over final 20% of melt-present time before laser reaches 90% of +X domain,241,1.0,54.75336,0.019639202380717022,0.06259355265711852,0.039259718609326665,0.20713659504375267,0.0,0.0,0.0,True,Late active-process window; excludes formation and domain-exit/cooldown.
melt_pool_length,final_recorded,single final row,171,0.7095435684647303,282.33359999999993,,,,,0.041124027371479605,0.7715468736636762,0.023570047000385962,False,"Endpoint may be cooldown, out-of-domain, or empty melt."
melt_pool_length,last_valid_melt_present,single last valid melt row,241,1.0,232.9427,,,,,0.07901039735826798,1.0,0.023816991143240315,False,Can represent a shrinking terminal fragment.
melt_pool_length,maximum,maximum over all melt-present rows,241,1.0,450.3599,,,,,0.06374007735792901,2.458321194979865,0.03191177370758577,False,Transient peak and one-step excursions can dominate.
melt_pool_length,full_melt_present_median,median over all melt-present rows,241,1.0,286.9317,0.4460669738430661,0.9491513025253613,1.1278182519221507,1.5201176652726185,0.18006433663494717,0.1616077242879487,0.2007858753114995,False,"Blends formation, active scan, boundary effects, and cooldown."
melt_pool_length,final_20pct_melt_present_median,median over last 20% of melt-present observations,241,1.0,254.0201,0.03755284245972428,0.9827907900638456,0.1208830048803676,2.1670111379716364,0.0026765731625269414,0.7300042809617451,8.172589082502915e-07,False,Retains cooldown/out-of-domain rows when recording extends beyond the track.
melt_pool_length,final_20pct_melt_present_mean,mean over last 20% of melt-present observations,241,1.0,272.2016819594005,0.03755284245972428,0.9827907900638456,0.1208830048803676,2.1670111379716364,0.014247531272666064,0.7303010192929734,0.0013702287508086013,False,Retains cooldown/out-of-domain rows and is less spike-robust than a median.
melt_pool_length,final_20pct_before_90pct_domain_exit_median,median over final 20% of melt-present time before laser reaches 90% of +X domain,241,1.0,341.3759,0.013131952491413848,0.03220690953370625,0.03531698348757413,0.10893451638282368,0.0,0.0,0.0,True,Late active-process window; excludes formation and domain-exit/cooldown.
melt_pool_width,final_recorded,single final row,171,0.7095435684647303,157.80052999999998,,,,,0.009456605947227761,0.4130583759127987,0.004113558496302845,False,"Endpoint may be cooldown, out-of-domain, or empty melt."
melt_pool_width,last_valid_melt_present,single last valid melt row,241,1.0,118.38132,,,,,0.05180118175561064,1.0,0.004088685390432429,False,Can represent a shrinking terminal fragment.
melt_pool_width,maximum,maximum over all melt-present rows,241,1.0,166.95381999999998,,,,,0.026356180265467016,0.08253556823924343,0.012628603451974429,False,Transient peak and one-step excursions can dominate.
melt_pool_width,full_melt_present_median,median over all melt-present rows,241,1.0,154.76226,0.21437766919977114,0.29986729136290124,0.4383015130125111,0.7600600602894088,0.006467863194643398,0.003120664989782416,0.016825534513484564,False,"Blends formation, active scan, boundary effects, and cooldown."
melt_pool_width,final_20pct_melt_present_median,median over last 20% of melt-present observations,241,1.0,131.30745,0.018111615330868094,0.4184990736659992,0.04876438067933864,1.4107223877674036,0.0006758107006033364,0.49140652111481353,4.3447561326157603e-07,False,Retains cooldown/out-of-domain rows when recording extends beyond the track.
melt_pool_width,final_20pct_melt_present_mean,mean over last 20% of melt-present observations,241,1.0,132.13688449927153,0.018111615330868094,0.4184990736659992,0.04876438067933864,1.4107223877674036,0.007825680228268683,0.527099830421128,0.0006767081657881532,False,Retains cooldown/out-of-domain rows and is less spike-robust than a median.
melt_pool_width,final_20pct_before_90pct_domain_exit_median,median over final 20% of melt-present time before laser reaches 90% of +X domain,241,1.0,159.00522,0.004894056128150931,0.015555666481012496,0.0092396296600239,0.04538697384325295,0.0,0.0,0.0,True,Late active-process window; excludes formation and domain-exit/cooldown.
